"","mgi_symbol","hsapiens_homolog_associated_gene_name","Frequency","Associated_Ly6a_TFs"
"134","Gm28464","",0,NA
"135","Gm28841","",0,NA
"136","Gm29656","",0,NA
"137","Gm28842","",0,NA
"138","Gm28843","",0,NA
"139","Gm29655","",0,NA
"140","Gm28837","",0,NA
"141","Gm21647","",0,NA
"142","Gm29653","",0,NA
"143","Gm28838","",0,NA
"144","Gm29654","",0,NA
"145","Gm28839","",0,NA
"146","Gm29651","",0,NA
"147","Gm20866","",0,NA
"148","Gm20868","",0,NA
"149","Gm29652","",0,NA
"150","Gm29080","",0,NA
"151","Gm21184","",0,NA
"152","Gm21201","",0,NA
"153","Gm28844","",0,NA
"154","Gm21841","",0,NA
"155","Gm29081","",0,NA
"156","Gm28668","",0,NA
"157","Gm29077","",0,NA
"158","Gm29076","",0,NA
"159","Gm20869","SYCP3",0,NA
"160","Gm29079","",0,NA
"161","Gm28481","",0,NA
"162","Gm29078","",0,NA
"163","Gm28482","",0,NA
"164","Gm20853","",0,NA
"165","Gm28485","",0,NA
"166","Gm29075","",0,NA
"167","Gm20870","SYCP3",0,NA
"168","Gm29225","",0,NA
"169","Gm28483","",0,NA
"170","Gm29226","",0,NA
"171","Gm28484","",0,NA
"172","Gm29227","",0,NA
"173","Gm28480","",0,NA
"174","Gm28339","",0,NA
"175","Gm20842","",0,NA
"176","Gm20855","SYCP3",0,NA
"177","Gm29179","",0,NA
"178","Gm21880","",0,NA
"179","Gm29180","",0,NA
"180","Gm29386","",0,NA
"181","Gm29181","",0,NA
"182","Gm29384","",0,NA
"183","Gm21896","",0,NA
"184","Gm29280","",0,NA
"185","Gm20799","",0,NA
"186","Gm29279","",0,NA
"187","Gm20843","SYCP3",0,NA
"188","Gm29182","",0,NA
"189","Gm28260","",0,NA
"190","Gm21795","",0,NA
"191","Gm20844","",0,NA
"192","Gm28261","",0,NA
"193","Gm28264","",0,NA
"194","Gm21872","",0,NA
"195","Gm20798","",0,NA
"196","Gm28463","",0,NA
"197","Gm29178","",0,NA
"198","Gm28584","",0,NA
"199","Gm21757","",0,NA
"200","Gm28585","",0,NA
"201","Gm28968","",0,NA
"202","Gm28495","",0,NA
"203","Gm20846","",0,NA
"204","Gm20847","",0,NA
"205","Gm20848","",0,NA
"206","Gm28969","",0,NA
"207","Gm21766","",0,NA
"208","Gm20800","",0,NA
"209","Gm21683","",0,NA
"210","Gm20896","SYCP3",0,NA
"211","Gm28470","",0,NA
"212","Gm28469","",0,NA
"213","Gm21898","",0,NA
"214","Gm28468","",0,NA
"215","Gm28677","",0,NA
"216","Gm20898","",0,NA
"217","Gm21855","",0,NA
"218","Gm29333","",0,NA
"219","Gm29255","",0,NA
"220","Gm20902","",0,NA
"221","Gm28332","",0,NA
"222","Gm28678","",0,NA
"223","Gm28333","",0,NA
"224","Gm28334","",0,NA
"225","Gm28335","",0,NA
"226","Gm20903","SYCP3",0,NA
"227","Gm28336","",0,NA
"228","Gm28272","",0,NA
"229","Gm28337","",0,NA
"230","Gm29256","",0,NA
"231","Gm28259","",0,NA
"232","Gm28338","",0,NA
"233","Gm28273","",0,NA
"234","Gm28812","",0,NA
"235","Gm28811","",0,NA
"236","Gm21715","",0,NA
"237","Gm28810","",0,NA
"238","Gm20835","SYCP3",0,NA
"239","Gm29027","",0,NA
"240","Gm29028","",0,NA
"241","Gm29617","",0,NA
"242","Gm29029","",0,NA
"243","Gm29615","",0,NA
"244","Gm29030","",0,NA
"245","Gm29616","",0,NA
"246","Gm29023","",0,NA
"247","Gm29024","",0,NA
"248","Gm21784","",0,NA
"249","Gm29025","",0,NA
"250","Gm20805","",0,NA
"251","Gm29026","",0,NA
"252","Gm29618","",0,NA
"253","Gm28213","",0,NA
"254","Gm29109","",0,NA
"255","Gm28212","",0,NA
"256","Gm29108","",0,NA
"257","Gm21799","",0,NA
"258","Gm28227","",0,NA
"259","Gm29110","SYCP3",0,NA
"260","Gm28781","",0,NA
"261","Gm20905","SYCP3",0,NA
"262","Gm29411","",0,NA
"263","Gm21913","",0,NA
"264","Gm28174","",0,NA
"265","Gm28222","",0,NA
"266","Gm21835","",0,NA
"267","Gm21076","",0,NA
"268","Gm28820","",0,NA
"269","Gm29416","",0,NA
"270","Gm28223","",0,NA
"271","Gm29412","",0,NA
"272","Gm21869","",0,NA
"273","Gm20813","",0,NA
"274","Gm29413","",0,NA
"275","Gm28790","",0,NA
"276","Gm29671","",0,NA
"277","Gm21878","",0,NA
"278","Gm29272","",0,NA
"279","Gm28162","",0,NA
"280","Gm28789","",0,NA
"281","Gm20922","",0,NA
"282","Gm20738","SPIN2B",0,NA
"283","Gm20738","SPIN2A",0,NA
"284","Gm20814","SYCP3",0,NA
"285","Gm28787","",0,NA
"286","Gm28788","",0,NA
"287","Gm28545","",0,NA
"288","Gm28547","",0,NA
"289","Gm29278","",0,NA
"290","Gm28546","",0,NA
"291","Gm21922","",0,NA
"292","Gm21924","",0,NA
"293","Gm21111","",0,NA
"294","Gm21735","",0,NA
"295","Gm28608","",0,NA
"296","Gm28607","",0,NA
"297","Gm28771","",0,NA
"298","Gm28772","",0,NA
"299","Gm28606","",0,NA
"300","Gm28773","",0,NA
"301","Gm20850","SYCP3",0,NA
"302","Gm20897","SYCP3",0,NA
"303","Gm29574","",0,NA
"304","Gm28774","",0,NA
"305","Gm29575","",0,NA
"306","Gm28775","",0,NA
"307","Gm21875","",0,NA
"308","Gm20904","",0,NA
"309","Gm21765","",0,NA
"310","Gapdh-ps15","",0,NA
"311","Gm29576","",0,NA
"312","Gm29577","",0,NA
"313","Gm28776","",0,NA
"314","Gm21787","",0,NA
"315","Gm29573","",0,NA
"316","Gm28770","",0,NA
"317","Gm28377","",0,NA
"318","Gm20901","",0,NA
"319","Gm21776","",0,NA
"320","Gm21155","",0,NA
"321","Gm28176","",0,NA
"322","Gm28786","",0,NA
"323","Gm21163","",0,NA
"324","Gm28122","",0,NA
"325","Gm29360","",0,NA
"326","Gm28121","",0,NA
"327","Gm29496","",0,NA
"328","Gm29497","",0,NA
"329","Gm21173","SYCP3",0,NA
"330","Gm29499","",0,NA
"331","Gm28123","",0,NA
"332","Gm28120","",0,NA
"333","Gm29313","",0,NA
"334","Gm29498","",0,NA
"335","Gm21180","",0,NA
"336","Gm36782","",0,NA
"337","Gm20859","",0,NA
"338","Gm29839","",0,NA
"339","Gm29314","",0,NA
"340","Gm29495","",0,NA
"341","Gm29310","",0,NA
"342","Gm28371","",0,NA
"343","Gm29311","",0,NA
"344","Gm28595","",0,NA
"345","Gm21638","",0,NA
"346","Gm37032","",0,NA
"347","Gm29312","",0,NA
"348","Gm29308","",0,NA
"349","Gm29309","",0,NA
"350","Gm28702","",0,NA
"351","Gm28701","",0,NA
"352","Gm28700","",0,NA
"353","Gm21865","SYCP3",0,NA
"354","Gm28699","",0,NA
"355","Gm29433","",0,NA
"356","Gm28705","",0,NA
"357","Gm29215","",0,NA
"358","Gm28704","",0,NA
"359","Gm21882","",0,NA
"360","Gm21801","",0,NA
"361","Gm28540","",0,NA
"362","Gm28850","",0,NA
"363","Gm21914","",0,NA
"364","Gm21650","SYCP3",0,NA
"365","Gm28617","",0,NA
"366","Gm28541","",0,NA
"367","Gm28618","",0,NA
"368","Gm28619","",0,NA
"369","Gm28542","",0,NA
"370","Gm28537","",0,NA
"371","Gm28538","",0,NA
"372","Gm20793","",0,NA
"373","Gm29569","",0,NA
"374","Gm20867","SPIN2B",0,NA
"375","Gm20867","SPIN2A",0,NA
"376","Gm28993","",0,NA
"377","Gm21658","",0,NA
"378","Gm28994","",0,NA
"379","Gm29568","",0,NA
"380","Gm21797","",0,NA
"381","Gm29567","",0,NA
"382","Gm21198","",0,NA
"383","Gm29566","",0,NA
"384","Gm29565","",0,NA
"385","Gm29564","SYCP3",0,NA
"386","Gm29147","",0,NA
"387","Gm29146","",0,NA
"388","Gm28664","",0,NA
"389","Gm28663","",0,NA
"390","Gm20795","SPIN2B",0,NA
"391","Gm20795","SPIN2A",0,NA
"392","Gm29149","",0,NA
"393","Gm28596","",0,NA
"394","Gm29148","",0,NA
"395","Gm20832","",0,NA
"396","Gm29145","",0,NA
"397","Gm29144","",0,NA
"398","Gm28597","",0,NA
"399","Gm28817","",0,NA
"400","Gm28428","",0,NA
"401","Gm28816","",0,NA
"402","Gm20827","",0,NA
"403","Gm20808","",0,NA
"404","Gm28427","",0,NA
"405","Gm21800","",0,NA
"406","Gm20806","SPIN2B",0,NA
"407","Gm20806","SPIN2A",0,NA
"408","Gm28426","",0,NA
"409","Gm28815","",0,NA
"410","Gm28814","",0,NA
"411","Gm28425","",0,NA
"412","Gm21729","",0,NA
"413","Gm28813","",0,NA
"414","Gm28834","",0,NA
"415","Gm20919","",0,NA
"416","Gm28833","",0,NA
"417","Gm21774","",0,NA
"418","Gm20917","SPIN2B",0,NA
"419","Gm20917","SPIN2A",0,NA
"420","Gm28421","",0,NA
"421","Gm29537","",0,NA
"422","Gm28420","",0,NA
"423","Gm29274","",0,NA
"424","Gm28423","",0,NA
"425","Gm29275","",0,NA
"426","Gm28422","",0,NA
"427","Gm29276","SYCP3",0,NA
"428","Gm21805","",0,NA
"429","Gm20916","SYCP3",0,NA
"430","Gm29645","",0,NA
"431","Gm29033","",0,NA
"432","Gm28312","",0,NA
"433","Gm29034","",0,NA
"434","Gm29165","",0,NA
"435","Gm21823","",0,NA
"436","Gm21242","",0,NA
"437","Gm29042","",0,NA
"438","Gm29031","",0,NA
"439","Gm28311","",0,NA
"440","Gm29032","",0,NA
"441","Gm28310","",0,NA
"442","Gm29606","",0,NA
"443","Gm28504","",0,NA
"444","Gm29607","",0,NA
"445","Gm28567","",0,NA
"446","Gm21248","",0,NA
"447","Gm28568","",0,NA
"448","Gm29189","",0,NA
"449","Gm21873","",0,NA
"450","Gm29286","",0,NA
"451","Gm29190","",0,NA
"452","Gm29285","",0,NA
"453","Gm28280","",0,NA
"454","Gm21241","",0,NA
"455","Gm21760","SYCP3",0,NA
"456","Gm28159","",0,NA
"457","Gm28278","",0,NA
"458","Gm28160","",0,NA
"459","Gm28157","",0,NA
"460","Gm28279","",0,NA
"461","Gm28158","",0,NA
"462","Gm21257","",0,NA
"463","Gm28161","",0,NA
"464","Gm28695","",0,NA
"465","Gm28696","",0,NA
"466","Gm21739","SYCP3",0,NA
"467","Gm20791","",0,NA
"468","Gm28886","",0,NA
"469","Gm20841","",0,NA
"470","Gm28899","",0,NA
"471","Gm29426","",0,NA
"472","Gm21722","",0,NA
"473","Gm28898","",0,NA
"474","Gm28885","",0,NA
"475","Gm21856","",0,NA
"476","Gm28887","",0,NA
"477","Gm28897","SYCP3",0,NA
"478","Gm28896","",0,NA
"479","Gm29444","",0,NA
"480","Gm21282","",0,NA
"481","Gm21783","",0,NA
"482","Gm28895","",0,NA
"483","Gm29445","",0,NA
"484","Gm28894","",0,NA
"485","Gm21829","",0,NA
"486","Gm28457","",0,NA
"487","Gm29324","",0,NA
"488","Gm21779","",0,NA
"489","Gm20911","SYCP3",0,NA
"490","Gm28739","",0,NA
"491","Gm28741","",0,NA
"492","Gm20912","",0,NA
"493","Gm20801","",0,NA
"494","Gm28742","",0,NA
"495","Gm28458","",0,NA
"496","Gm21919","",0,NA
"497","Gm28743","",0,NA
"498","Gm28459","",0,NA
"499","Gm28461","",0,NA
"500","Gm28124","",0,NA
"501","Gm21790","",0,NA
"502","Gm21728","",0,NA
"503","Gm28460","",0,NA
"504","Gm28126","",0,NA
"505","Gm28851","",0,NA
"506","Gm28125","",0,NA
"507","Gm28456","",0,NA
"508","Gm21825","",0,NA
"509","Gm29073","",0,NA
"510","Gm29648","",0,NA
"511","Gm29647","",0,NA
"512","Gm21317","SYCP3",0,NA
"513","Gm29468","",0,NA
"514","Gm29646","",0,NA
"515","Gm29469","",0,NA
"516","Gm29472","",0,NA
"517","Gm28549","",0,NA
"518","Gm29473","",0,NA
"519","Gm29211","",0,NA
"520","Gm29470","",0,NA
"521","Gm29212","",0,NA
"522","Gm21333","",0,NA
"523","Gm21247","",0,NA
"524","Gm29382","",0,NA
"525","Gm28224","",0,NA
"526","Gm29210","",0,NA
"527","Gm28226","",0,NA
"528","Gm29213","",0,NA
"529","Gm28225","",0,NA
"530","Gm28550","",0,NA
"531","Gm21344","",0,NA
"532","Gm28604","",0,NA
"533","Gm20849","",0,NA
"534","Gm28603","",0,NA
"535","Gm28829","",0,NA
"536","Gm21901","",0,NA
"537","Gm28565","",0,NA
"538","Gm28566","",0,NA
"539","Gm28827","SYCP3",0,NA
"540","Gm28697","",0,NA
"541","Gm28828","",0,NA
"542","Gm28554","",0,NA
"543","Gm28831","",0,NA
"544","Gm28832","",0,NA
"545","Gm21864","",0,NA
"546","Gm21256","SYCP3",0,NA
"547","Gm21802","",0,NA
"548","Gm28658","",0,NA
"549","Gm29238","",0,NA
"550","Gm29056","",0,NA
"551","Gm21088","",0,NA
"552","Gm29239","",0,NA
"553","Gm29098","",0,NA
"554","Gm21170","",0,NA
"555","Gm21741","",0,NA
"556","Gm29373","",0,NA
"557","Gm20862","",0,NA
"558","Gm29370","",0,NA
"559","Gm20863","",0,NA
"560","Gm21751","",0,NA
"561","Gm20864","",0,NA
"562","Gm29476","",0,NA
"563","Gm29166","",0,NA
"564","Gm21717","",0,NA
"565","Gm28194","",0,NA
"566","Gm28472","",0,NA
"567","Gm20792","SYCP3",0,NA
"568","Gm28754","",0,NA
"569","Gm21095","SYCP3",0,NA
"570","Gm28473","",0,NA
"571","Gm28753","",0,NA
"572","Gm28474","",0,NA
"573","Gm21191","",0,NA
"574","Gm21271","",0,NA
"575","Gm28475","",0,NA
"576","Gm28476","",0,NA
"577","Gm21281","",0,NA
"578","Gm21380","",0,NA
"579","Gm28193","",0,NA
"580","Gm21782","",0,NA
"581","Gm20802","",0,NA
"582","Gm29070","",0,NA
"583","Gm21394","SPIN2B",0,NA
"584","Gm21394","SPIN2A",0,NA
"585","Gm28471","",0,NA
"586","Gm21824","",0,NA
"587","Gm29338","",0,NA
"588","Gm28553","SYCP3",0,NA
"589","Gm28751","",0,NA
"590","Gm28752","",0,NA
"591","Gm21409","SYCP3",0,NA
"592","Gm29339","",0,NA
"593","Gm28726","",0,NA
"594","Gm28759","",0,NA
"595","Gm21308","",0,NA
"596","Gm28758","",0,NA
"597","Gm29267","",0,NA
"598","Gm29071","",0,NA
"599","Gm29268","",0,NA
"600","Gm21879","",0,NA
"601","Gm29269","",0,NA
"602","Gm28757","",0,NA
"603","Gm29270","",0,NA
"604","Gm20856","",0,NA
"605","Gm28348","",0,NA
"606","Gm28973","",0,NA
"607","Gm29271","",0,NA
"608","Gm21734","",0,NA
"609","Gm28972","",0,NA
"610","Gm28970","",0,NA
"611","Gm28971","",0,NA
"612","Gm21785","",0,NA
"613","Gm21209","SYCP3",0,NA
"614","Gm28682","",0,NA
"615","Gm20854","SPIN2B",0,NA
"616","Gm20854","SPIN2A",0,NA
"617","Gm28569","",0,NA
"618","Gm28349","",0,NA
"619","Gm28681","",0,NA
"620","Gm21892","",0,NA
"621","Gm28684","",0,NA
"622","Gm28346","",0,NA
"623","Gm28345","",0,NA
"624","Gm21316","",0,NA
"625","Gm29090","",0,NA
"626","Gm21923","",0,NA
"627","Gm28683","",0,NA
"628","Gm28152","",0,NA
"629","Gm28680","",0,NA
"630","Gm21881","",0,NA
"631","Gm21435","",0,NA
"632","Gm28679","",0,NA
"633","Gm29505","",0,NA
"634","Gm21862","",0,NA
"635","Gm28870","SYCP3",0,NA
"636","Gm28823","",0,NA
"637","Gm28871","",0,NA
"638","Gm28220","",0,NA
"639","Gm29512","",0,NA
"640","Gm29511","",0,NA
"641","Gm20820","SYCP3",0,NA
"642","Gm20880","",0,NA
"643","Gm28219","",0,NA
"644","Gm20881","",0,NA
"645","Gm28218","",0,NA
"646","Gm29121","",0,NA
"647","Gm29120","",0,NA
"648","Gm20861","",0,NA
"649","Gm29117","",0,NA
"650","Gm20860","",0,NA
"651","Gm28057","",0,NA
"652","Gm21796","",0,NA
"653","Gm29302","",0,NA
"654","Gm20883","SYCP3",0,NA
"655","Gm29119","",0,NA
"656","Gm29118","",0,NA
"657","Gm28440","",0,NA
"658","Gm29299","",0,NA
"659","Gm29116","",0,NA
"660","Gm20889","",0,NA
"661","Gm29298","",0,NA
"662","Gm20887","",0,NA
"663","Gm29092","",0,NA
"664","Gm29091","",0,NA
"665","Gm29320","",0,NA
"666","Gm21849","",0,NA
"667","Gm29297","",0,NA
"668","Gm21462","",0,NA
"669","Gm29321","",0,NA
"670","Gm21470","",0,NA
"671","Gm28366","",0,NA
"672","Gm21752","",0,NA
"673","Gm28365","",0,NA
"674","Gm21117","SYCP3",0,NA
"675","Gm29319","",0,NA
"676","Gm28317","",0,NA
"677","Gm28318","",0,NA
"678","Gm21477","SYCP3",0,NA
"679","Gm20884","",0,NA
"680","Gm28368","",0,NA
"681","Gm28313","",0,NA
"682","Gm28314","",0,NA
"683","Gm28369","",0,NA
"684","Gm28315","",0,NA
"685","Gm28367","",0,NA
"686","Gm29115","",0,NA
"687","Gm21813","",0,NA
"688","Gm28316","",0,NA
"689","Gm21387","",0,NA
"690","Gm21396","",0,NA
"691","Gm28944","",0,NA
"692","Gm20906","SYCP3",0,NA
"693","Gm28943","",0,NA
"694","Gm29111","",0,NA
"695","Gm28946","",0,NA
"696","Gm28110","",0,NA
"697","Gm28945","",0,NA
"698","Gm28109","",0,NA
"699","Gm28108","",0,NA
"700","Gm28107","",0,NA
"701","Gm28947","",0,NA
"702","Gm28106","",0,NA
"703","Gm28105","",0,NA
"704","Gm28104","",0,NA
"705","Gm28103","",0,NA
"706","Gm20920","SYCP3",0,NA
"707","Gm28949","",0,NA
"708","Gm28102","SYCP3",0,NA
"709","Gm28948","",0,NA
"710","Gm28716","",0,NA
"711","Gm28717","",0,NA
"712","Gm28718","",0,NA
"713","Gm28950","",0,NA
"714","Gm21245","",0,NA
"715","Gm29162","",0,NA
"716","Gm29169","",0,NA
"717","Gm21777","",0,NA
"718","Gm21899","",0,NA
"719","Gm28866","",0,NA
"720","Gm29063","",0,NA
"721","Gm28737","",0,NA
"722","Gm28405","",0,NA
"723","Gm21792","",0,NA
"724","Gm28738","",0,NA
"725","Gm28406","",0,NA
"726","Gm20923","",0,NA
"727","Gm28978","",0,NA
"728","Gm29436","",0,NA
"729","Gm28197","",0,NA
"730","Gm20819","",0,NA
"731","Gm21249","",0,NA
"732","Gm29437","",0,NA
"733","Gm28736","",0,NA
"734","Gm28977","",0,NA
"735","Gm21840","",0,NA
"736","Gm28407","",0,NA
"737","Gm21287","",0,NA
"738","Gm29390","",0,NA
"739","Gm28735","",0,NA
"740","Gm29391","",0,NA
"741","Gm21720","",0,NA
"742","Gm29392","",0,NA
"743","Gm29393","",0,NA
"744","Gm21294","SYCP3",0,NA
"745","Gm21258","SYCP3",0,NA
"746","Gm28672","",0,NA
"747","Gm28734","",0,NA
"748","Gm21838","",0,NA
"749","Gm28232","",0,NA
"750","Gm28670","",0,NA
"751","Gm28671","",0,NA
"752","Gm28732","",0,NA
"753","Gm28673","",0,NA
"754","Gm28733","",0,NA
"755","Gm28674","",0,NA
"756","Gm21268","",0,NA
"757","Gm28531","",0,NA
"758","Gm21275","",0,NA
"759","Gm28233","",0,NA
"760","Gm28235","",0,NA
"761","Gm28234","",0,NA
"762","Gm21996","SYCP3",0,NA
"763","Gm21902","",0,NA
"764","Gm21803","",0,NA
"765","Gm28930","",0,NA
"766","Gm20879","",0,NA
"767","Gm28236","",0,NA
"768","Gm21285","",0,NA
"769","Gm29504","",0,NA
"770","Gm20747","SPIN2B",0,NA
"771","Gm20747","SPIN2A",0,NA
"772","Gm29250","",0,NA
"773","Gm29251","",0,NA
"774","Gm20837","SYCP3",0,NA
"775","Gm21906","",0,NA
"776","Gm29503","",0,NA
"777","Gm29252","",0,NA
"778","Gm28300","",0,NA
"779","Gm29248","",0,NA
"780","Gm28301","",0,NA
"781","Gm29249","",0,NA
"782","Gm29484","",0,NA
"783","Gm21860","",0,NA
"784","Gm21920","",0,NA
"785","Gm28908","",0,NA
"786","Mid1-ps1","",0,NA
"787","Gm28907","",0,NA
"788","Gm21749","",0,NA
"789","Gm20929","SYCP3",0,NA
"790","Gm28910","",0,NA
"791","Gm28909","",0,NA
"792","Gm47283","",0,NA
"793","Gm28276","",0,NA
"794","Gm21742","",0,NA
"795","Gm21748","",0,NA
"796","Gm28274","",0,NA
"797","Gm28275","",0,NA
"798","Gm21302","",0,NA
"799","Gm28290","",0,NA
"800","Gm28292","",0,NA
"801","Gm28291","",0,NA
"802","Gm28293","",0,NA
"803","Gm21740","",0,NA
"804","Gm21912","",0,NA
"805","Gm28698","",0,NA
"806","Gm29304","",0,NA
"807","Gm29305","",0,NA
"808","Gm29303","",0,NA
"809","Gm21894","",0,NA
"810","Gm29307","",0,NA
"811","Gm29557","",0,NA
"812","Gm20927","",0,NA
"813","Gm20930","",0,NA
"814","Gm29306","",0,NA
"815","Gm29300","",0,NA
"816","Gm29301","",0,NA
"817","Gm20931","SYCP3",0,NA
"818","Gm29559","",0,NA
"819","Gm29558","",0,NA
"820","Gm29555","",0,NA
"821","Gm21733","",0,NA
"822","Gm21330","",0,NA
"823","Gm28355","",0,NA
"824","Gm28354","",0,NA
"825","Gm28353","",0,NA
"826","Gm28352","",0,NA
"827","Gm21858","SYCP3",0,NA
"828","Gm29244","",0,NA
"829","Gm28200","",0,NA
"830","Gm28201","",0,NA
"831","Gm28202","",0,NA
"832","Gm28203","",0,NA
"833","Gm21340","",0,NA
"834","Gm28204","",0,NA
"835","Gm28205","",0,NA
"836","Gm28206","",0,NA
"837","Gm28207","",0,NA
"838","Gm28208","",0,NA
"839","Gm21851","",0,NA
"840","Gm21819","",0,NA
"841","Gm29224","",0,NA
"842","Gm29223","",0,NA
"843","Gm29222","",0,NA
"844","Gm29221","",0,NA
"845","Gm29220","",0,NA
"846","Gm21815","",0,NA
"847","Gm29407","",0,NA
"848","Gm29405","",0,NA
"849","Gm29406","",0,NA
"850","Gm20913","",0,NA
"851","Gm29404","",0,NA
"852","Gm29403","",0,NA
"853","Gm28350","",0,NA
"854","Gm28964","",0,NA
"855","Sly","SYCP3",0,NA
"856","Gm28165","",0,NA
"857","Gm28709","",0,NA
"858","Gm28965","",0,NA
"859","Gm21868","",0,NA
"860","Gm21943","SPIN2B",0,NA
"861","Gm21943","SPIN2A",0,NA
"862","Gm28532","",0,NA
"863","Gm28533","",0,NA
"864","Gm28966","",0,NA
"865","Gm28961","SYCP3",0,NA
"866","Gm28962","",0,NA
"867","Gm28963","",0,NA
"868","Gm29466","",0,NA
"869","Gm29467","",0,NA
"870","Gm21724","",0,NA
"871","Gm20963","",0,NA
"872","Gm28326","",0,NA
"873","Gm28325","",0,NA
"874","Gm21405","",0,NA
"875","Gm28284","",0,NA
"876","Gm29368","",0,NA
"877","Gm21861","SYCP3",0,NA
"878","Gm21413","",0,NA
"879","Gm28073","",0,NA
"880","Gm21419","",0,NA
"881","Gm28074","",0,NA
"882","Gm21428","",0,NA
"883","Gm28072","",0,NA
"884","Gm21758","",0,NA
"885","Gm29672","",0,NA
"886","Gm29131","",0,NA
"887","Gm20871","",0,NA
"888","Gm29130","",0,NA
