"","mgi_symbol","hsapiens_homolog_associated_gene_name","Frequency","% of Ly6a TFs that bind Mouse gene’s PPR","HumanCarotid_scRNA-seq_cluster"
"1628","Zfy1","ZNF586",6000,8.46704203886372,NA
"1629","Zfy1","",6000,8.46704203886372,NA
"1630","Zfy1","ZNF419",6000,8.46704203886372,NA
"1631","Zfy1","ZNF793",6000,8.46704203886372,NA
"1632","Zfy1","ZNF304",6000,8.46704203886372,NA
"1633","Zfy1","ZNF773",6000,8.46704203886372,NA
"1634","Zfy1","ZNF587B",6000,8.46704203886372,NA
"1635","Zfy1","ZNF552",6000,8.46704203886372,NA
"1636","Zfy1","ZNF837",6000,8.46704203886372,NA
"1637","Zfy1","ZNF584",6000,8.46704203886372,NA
"1638","Zfy1","ZNF418",6000,8.46704203886372,NA
"1639","Zfy1","ZNF549",6000,8.46704203886372,NA
"1640","Zfy1","ZNF134",6000,8.46704203886372,NA
"1641","Zfy1","ZNF772",6000,8.46704203886372,NA
"1642","Zfy1","ZNF256",6000,8.46704203886372,NA
"1643","Zfy1","ZNF154",6000,8.46704203886372,NA
"1644","Zfy1","ZNF792",6000,8.46704203886372,NA
"1645","Zfy1","ZNF561",6000,8.46704203886372,NA
"1646","Zfy1","ZNF562",6000,8.46704203886372,NA
"1647","Zfy1","ZNF548",6000,8.46704203886372,NA
"1648","Zfy1","ZNF610",6000,8.46704203886372,NA
"1649","Zfy1","ZNF480",6000,8.46704203886372,NA
"1650","Uba1y","",5056,7.13489409141583,NA
"1654","Kdm5d","KDM5D",6324,8.92426230896236,NA
"1656","Eif2s3y","",5675,8.00841059509194,NA
"1659","Uty","UTY",6395,9.02445563975559,NA
"1660","Ddx3y","DDX3Y",5913,8.3442699293002,NA
"1663","Usp9y","USP9Y",6184,8.72669799472221,NA
"1673","Zfy2","ZNF586",9263,13.0717017343324,NA
"1674","Zfy2","",9263,13.0717017343324,NA
"1675","Zfy2","ZNF419",9263,13.0717017343324,NA
"1676","Zfy2","ZNF793",9263,13.0717017343324,NA
"1677","Zfy2","ZNF304",9263,13.0717017343324,NA
"1678","Zfy2","ZNF773",9263,13.0717017343324,NA
"1679","Zfy2","ZNF587B",9263,13.0717017343324,NA
"1680","Zfy2","ZNF552",9263,13.0717017343324,NA
"1681","Zfy2","ZNF837",9263,13.0717017343324,NA
"1682","Zfy2","ZNF584",9263,13.0717017343324,NA
"1683","Zfy2","ZNF418",9263,13.0717017343324,NA
"1684","Zfy2","ZNF549",9263,13.0717017343324,NA
"1685","Zfy2","ZNF134",9263,13.0717017343324,NA
"1686","Zfy2","ZNF772",9263,13.0717017343324,NA
"1687","Zfy2","ZNF256",9263,13.0717017343324,NA
"1688","Zfy2","ZNF154",9263,13.0717017343324,NA
"1689","Zfy2","ZNF792",9263,13.0717017343324,NA
"1690","Zfy2","ZNF561",9263,13.0717017343324,NA
"1691","Zfy2","ZNF562",9263,13.0717017343324,NA
"1692","Zfy2","ZNF548",9263,13.0717017343324,NA
"1693","Zfy2","ZNF610",9263,13.0717017343324,NA
"1694","Zfy2","ZNF480",9263,13.0717017343324,NA
"1718","Rbmy","RBMY1J",9826,13.8661925123125,NA
"1719","Rbmy","RBMY1E",9826,13.8661925123125,NA
"1720","Rbmy","RBMY1B",9826,13.8661925123125,NA
"1721","Rbmy","RBMY1F",9826,13.8661925123125,NA
"1722","Rbmy","RBMY1A1",9826,13.8661925123125,NA
"1723","Rbmy","RBMY1D",9826,13.8661925123125,NA
"1741","Chst9","CHST9",9006,12.7090301003344,NA
"1747","Cdh2","CDH2",9457,13.3454694269224,NA
"1756","Cep120","CEP120",5685,8.02252233182338,NA
"1762","Csnk1g3","CSNK1G3",5219,7.36491540013829,NA
"1773","Dsc3","DSC3",5822,8.2158531250441,NA
"1774","Zfp608","ZNF608",6545,9.23613169072718,NA
"1790","Gramd3","GRAMD2B",9291,13.1112145971805,NA
"1791","Dsc2","DSC2",5635,7.95196364816618,NA
"1792","Dsc1","DSC1",5715,8.0648575420177,NA
"1793","Dsg1c","DSG1",5852,8.25818833523842,NA
"1794","Dsg1a","DSG1",6076,8.57429123802266,NA
"1795","Dsg1b","DSG1",5543,7.82213567023694,NA
"1796","Aldh7a1","ALDH7A1",7610,10.7390316526255,NA
"1799","Dsg4","DSG4",5377,7.58788084049504,NA
"1808","Phax","PHAX",7521,10.6134371957157,NA
"1809","Gpr50","GPR50",4608,6.50268828584734,NA
"1815","Tex43","TEX43",5780,8.15658383077205,NA
"1817","Slc16a2","SLC16A2",5943,8.38660513949452,NA
"1821","Lmnb1","LMNB1",5918,8.35132579766592,NA
"1824","Gm10488","SYCP3",5843,8.24548777218012,NA
"1830","Marchf3","MARCHF3",5922,8.35697049235849,NA
"1831","Vma21","VMA21",6172,8.70976391064448,NA
"1833","Dsg3","DSG3",6017,8.49103199130717,NA
"1872","Lratd1","LRATD1",5348,7.54695680397387,NA
"1897","Htr2c","HTR2C",6258,8.83112484653486,NA
"1911","C330018D20Rik","C5orf63",5943,8.38660513949452,NA
"1915","Rlim","RLIM",5898,8.32310232420304,NA
"1916","Trib2","TRIB2",4913,6.93309625615624,NA
"1919","Dsg2","DSG2",5517,7.78544515473519,NA
"1927","Heatr5a","HEATR5A",5631,7.9463189534736,NA
"1941","Ttr","TTR",5095,7.18992986466844,NA
"1942","Gm10487","SYCP3",5661,7.98865416366792,NA
"1944","B4galt6","B4GALT6",4509,6.36298209220609,NA
"1946","Prrg3","PRRG3",5363,7.56812440907102,NA
"1949","Megf10","MEGF10",7488,10.5668684645019,NA
"1950","Nexmif","NEXMIF",5047,7.12219352835753,NA
"1964","Dtd2","DTD2",6099,8.60674823250497,NA
"1967","Gm21637","SPIN2B",5493,7.75157698657974,NA
"1968","Gm21637","SPIN2A",5493,7.75157698657974,NA
"1969","Gpr33","GPR33",5752,8.11707096792402,NA
"1973","Vrtn","VRTN",5643,7.96325303755133,NA
"1974","Il13ra2","IL13RA2",9921,14.0002540112612,NA
"1979","Prrc1","PRRC1",4900,6.91475099840537,NA
"1982","Cnga2","CNGA2",5462,7.70783060271228,NA
"1983","Ctxn3","CTXN3",6178,8.71823095268335,NA
"1985","Btbd35f2","",5823,8.21726429871724,NA
"1994","Trappc8","TRAPPC8",5789,8.16928439383035,NA
"1996","Syndig1l","SYNDIG1L",5452,7.69371886598084,NA
"2000","Abcb7","ABCB7",6422,9.06255732893047,NA
"2007","Nubpl","NUBPL",6175,8.71399743166392,NA
"2015","Npc2","NPC2",5090,7.18287399630272,NA
"2018","Btbd35f21","",5503,7.76568872331118,NA
"2021","Uprt","UPRT",5785,8.16363969913777,NA
"2025","Gabre","GABRE",5843,8.24548777218012,NA
"2029","Ccdc192","CCDC192",5953,8.40071687622596,NA
"2033","Btbd35f5","",5463,7.70924177638542,NA
"2034","Isca2","ISCA2",5114,7.21674216445818,NA
"2040","Btbd35f12","",5411,7.63586074538193,NA
"2044","Magea10","MAGEA10",5504,7.76709989698432,NA
"2054","Arhgap5","ARHGAP5",8056,11.3684151108477,NA
"2058","Zdhhc15","ZDHHC15",6414,9.05126793954532,NA
"2061","Slc12a2","SLC12A2",5106,7.20545277507303,NA
"2062","Dio3","DIO3",4202,5.92975177455089,NA
"2069","Btbd35f13","",5614,7.92232900103016,NA
"2077","Btbd35f14","",5413,7.63868309272822,NA
"2078","Akap6","AKAP6",9052,12.7739440892991,NA
"2079","Magee2","MAGEE2",4710,6.64662800050802,NA
"2085","Rnf138","RNF138",6708,9.46615299944964,NA
"2092","Gabra3","GABRA3",6081,8.58134710638838,NA
"2095","Npas3","NPAS3",5526,7.79814571779349,NA
"2096","Mep1b","MEP1B",7431,10.4864315651327,NA
"2106","Egln3","EGLN3",5431,7.66408421884481,NA
"2107","Gm10486","SYCP3",8191,11.5589235567221,NA
"2118","Garem1","GAREM1",5588,7.88563848552841,NA
"2119","Sptssa","SPTSSA",5291,7.46651990460466,NA
"2122","Ltbp2","LTBP2",5056,7.13489409141583,"NASMC3 "
"2127","Fbn2","FBN2",5531,7.80520158615921,NA
"2131","Gabrq","GABRQ",5717,8.06767988936398,NA
"2135","Klhl14","KLHL14",5754,8.11989331527031,NA
"2139","Eapp","EAPP",6005,8.47409790722944,NA
"2140","Slc27a6","SLC27A6",5624,7.9364407377616,NA
"2144","Cetn2","CETN2",6015,8.48820964396088,NA
"2147","Isoc1","ISOC1",6051,8.53901189619406,NA
"2155","Adamts19","ADAMTS19",5365,7.57094675641731,NA
"2156","Ppp2r5c","PPP2R5C",8132,11.4756643100066,NA
"2157","Ccdc178","CCDC178",6329,8.93131817732808,NA
"2161","Pbdc1","PBDC1",6518,9.19803000155229,NA
"2162","Minar2","MINAR2",5860,8.26947772462357,NA
"2172","Nsdhl","NSDHL",5842,8.24407659850698,NA
"2175","Snx6","SNX6",5510,7.77556693902319,NA
"2176","Chsy3","CHSY3",6036,8.5178442910969,NA
"2183","Magee1","MAGEE1",6369,8.98776512425384,NA
"2185","Gm4951","",5507,7.77133341800375,NA
"2192","Gm4841","",5389,7.60481492457277,NA
"2196","F830016B08Rik","",5713,8.06203519467141,NA
"2198","Asxl3","ASXL3",5776,8.15093913607948,NA
"2201","Arel1","AREL1",10237,14.4461848919747,NA
"2204","Gm15080","",3747,5.28766775327039,NA
"2206","Cypt2","",5483,7.7374652498483,NA
"2213","Fgf16","FGF16",5434,7.66831773986425,NA
"2214","Iigp1","",6664,9.40406135783131,NA
"2215","Gm15107","",3364,4.74718823645626,NA
"2218","Smim3","SMIM3",5236,7.38890535258174,NA
"2220","Dctn4","DCTN4",4987,7.0375231079689,NA
"2224","Gm15114","",4980,7.02764489225689,NA
"2229","Zfp185","ZNF185",4435,6.25855524039343,NA
"2231","Dync1h1","DYNC1H1",5263,7.42700704175663,NA
"2232","Nol4","NOL4",5981,8.44022973907399,NA
"2234","Gm15127","",3721,5.25097723776865,NA
"2236","Cfl2","CFL2",6258,8.83112484653486,NA
"2237","Pnma5","PNMA5",5128,7.2364985958822,NA
"2240","Pnma3","PNMA3",5606,7.91103961164501,NA
"2241","1700001K19Rik","",4675,6.59723692194798,NA
"2244","Xlr4a","",5505,7.76851107065747,NA
"2246","Fcf1","",6035,8.51643311742376,NA
"2247","Luzp4","",4707,6.64239447948859,NA
"2250","Rbm22","RBM22",5145,7.26048854832564,NA
"2251","Baz1a","BAZ1A",10610,14.9725526720573,NA
"2256","Dock11","DOCK11",5776,8.15093913607948,NA
"2257","Myoz3","MYOZ3",5007,7.06574658143178,NA
"2258","Synpo","SYNPO",8565,12.086702510478,NA
"2260","Ndst1","NDST1",9168,12.9376402353838,NA
"2265","Hsp90aa1","HSP90AA1",6122,8.63920522698729,NA
"2272","Smug1","SMUG1",6462,9.11900427585623,NA
"2273","Ccdc134","CCDC134",5633,7.94914130081989,NA
"2274","Rps14","RPS14",7823,11.0396116450052,NA
"2275","Mroh2b","MROH2B",5559,7.84471444900724,NA
"2276","2700097O09Rik","",6551,9.24459873276604,NA
"2278","Dtna","DTNA",5536,7.81225745452493,NA
"2282","Xlr3a","",5757,8.12412683628974,NA
"2283","Lpin1","LPIN1",10540,14.8737705149373,NA
"2284","Cbx5","CBX5",9752,13.7617656604998,NA
"2286","Ott","",3445,4.86149330398092,NA
"2287","C7","C7",5840,8.24125425116069,"NASMC6 "
"2291","Card6","CARD6",5366,7.57235793009046,NA
"2292","Rpl37","RPL37",5692,8.03240054753539,NA
"2298","Prkaa1","PRKAA1",5148,7.26472206934507,NA
"2300","Gm15093","",7080,9.99110960585919,NA
"2304","Il13ra1","IL13RA1",5751,8.11565979425088,NA
"2305","Srebf2","SREBF2",5345,7.54272328295443,NA
"2308","Gm15085","",3656,5.15925094901429,NA
"2309","Cd74","CD74",5255,7.41571765237148,"NASMC7 "
"2311","Zcchc12","ZCCHC12",6149,8.67730691616217,NA
"2312","Zcchc12","ZCCHC18",6149,8.67730691616217,NA
"2313","Mtbp","MTBP",9808,13.8407913861959,NA
"2317","Gm10439","",3703,5.22557611165206,NA
"2318","Xlr5a","FAM9C",5884,8.30334589277902,NA
"2319","Xlr5a","FAM9B",5884,8.30334589277902,NA
"2320","Xlr5a","FAM9A",5884,8.30334589277902,NA
"2324","Mapre2","MAPRE2",8042,11.3486586794237,NA
"2327","Pwwp4a","PWWP4",4629,6.53232293298336,NA
"2328","Pwwp4b","PWWP4",7617,10.7489098683375,NA
"2329","Lonrf3","LONRF3",5332,7.52437802520356,NA
"2330","Wdr20","WDR20",5255,7.41571765237148,NA
"2333","Shisa8","SHISA8",5263,7.42700704175663,NA
"2336","Ntsr2","NTSR2",4346,6.13296078348362,NA
"2337","Sntb1","SNTB1",5750,8.11424862057773,NA
"2338","Gm15097","",4571,6.45047485994101,NA
"2343","Zfp397","ZNF397",5983,8.44305208642028,NA
"2346","Ylpm1","YLPM1",5408,7.6316272243625,NA
"2353","Zfp35","",5580,7.87434909614326,NA
"2354","Ttc33","TTC33",5925,8.36120401337793,NA
"2357","Zfp24","ZNF24",5619,7.92938486939588,NA
"2361","Pgrmc1","PGRMC1",5919,8.35273697133906,NA
"2363","Ino80c","INO80C",6243,8.8099572414377,NA
"2364","Gm15091","",4067,5.73924332867646,NA
"2366","Tnfrsf13c","TNFRSF13C",4756,6.71154198947264,NA
"2369","Tcof1","TCOF1",5305,7.48627633602867,NA
"2371","Has2","HAS2",5876,8.29205650339387,NA
"2372","Atrx","ATRX",6005,8.47409790722944,NA
"2373","Hnrnpa1","HNRNPA1",5789,8.16928439383035,NA
"2374","Mok","MOK",4749,6.70166377376064,NA
"2376","Krtap20-2","",6230,8.79161198368683,NA
"2378","Krtap21-1","",5958,8.40777274459168,NA
"2379","Srp54a","SRP54",6588,9.29681215867237,NA
"2380","Krtap6-2","",5371,7.57941379845618,NA
"2381","Ifitm7","",5255,7.41571765237148,NA
"2383","Krtap8-1","KRTAP8-1",5168,7.29294554280795,NA
"2384","Krtap7-1","KRTAP7-1",5735,8.09308101548058,NA
"2385","Krtap11-1","KRTAP11-1",5604,7.90821726429872,NA
"2388","Bmerb1","BMERB1",5253,7.41289530502519,NA
"2389","Ptger4","PTGER4",5461,7.70641942903913,NA
"2393","Rabl3","RABL3",5616,7.92515134837644,NA
"2413","Hgd","HGD",6098,8.60533705883183,NA
"2418","Zfp839","ZNF839",4789,6.75811072068639,NA
"2419","Slc22a22","",9496,13.400505200175,NA
"2421","Srp54b","SRP54",5996,8.46139734417115,NA
"2426","Ndufb4","NDUFB4",5797,8.1805737832155,NA
"2427","Nfe2","NFE2",6252,8.822657804496,NA
"2429","Marf1","MARF1",6163,8.69706334758619,NA
"2430","Arsi","ARSI",5016,7.07844714449007,NA
"2431","Galnt1","GALNT1",10559,14.900582814727,NA
"2432","Cenpm","CENPM",5121,7.22662038017019,NA
"2433","Fam177a2","FAM177A1",5459,7.70359708169284,NA
"2441","Akap17b","",4951,6.98672085573572,NA
"2442","Cinp","CINP",5225,7.37338244217716,NA
"2444","Fstl1","FSTL1",5457,7.70077473434656,"NASMC4 "
"2450","Xlr5b","FAM9C",5255,7.41571765237148,NA
"2451","Xlr5b","FAM9B",5255,7.41571765237148,NA
"2452","Xlr5b","FAM9A",5255,7.41571765237148,NA
"2453","Gm36028","BTN3A1",4730,6.6748514739709,NA
"2454","Lrrc58","LRRC58",5208,7.34939248973371,NA
"2455","Zhx2","ZHX2",5628,7.94208543245417,NA
"2457","Gpr156","GPR156",5805,8.19186317260065,NA
"2461","Derl1","DERL1",5278,7.44817464685379,NA
"2465","Gsk3b","GSK3B",5504,7.76709989698432,NA
"2467","Slc25a43","SLC25A43",5322,7.51026628847212,NA
"2468","2700062C07Rik","C18orf21",5235,7.3874941789086,NA
"2469","Dlst","DLST",5195,7.33104723198284,NA
"2471","Spin2d","SPIN2B",5155,7.27460028505708,NA
"2472","Spin2d","SPIN2A",5155,7.27460028505708,NA
"2473","Copz1","COPZ1",5752,8.11707096792402,NA
"2474","Slc25a5","SLC25A5",5764,8.13400505200175,NA
"2475","Rprd1a","RPRD1A",5464,7.71065295005856,NA
"2477","Xlr3b","",5648,7.97030890591705,NA
"2478","Slc39a6","SLC39A6",5992,8.45575264947857,NA
"2481","Gpr84","",4827,6.81173532026586,NA
"2483","Nr1i2","NR1I2",5039,7.11090413897238,NA
"2484","Zfp385a","ZNF385A",7883,11.1242820653938,NA
"2485","Tmem29","FAM156B",8971,12.6596390217744,NA
"2486","Tmem29","FAM156A",8971,12.6596390217744,NA
"2487","Tbc1d31","TBC1D31",5455,7.69795238700027,NA
"2488","Nde1","NDE1",5404,7.62598252966993,NA
"2489","Camk2a","CAMK2A",7266,10.253587909064,NA
"2493","Steep1","STEEP1",7971,11.2484653486305,NA
"2496","Greb1","GREB1",8829,12.459252360188,NA
"2497","Itga5","ITGA5",5374,7.58364731947561,NA
"2499","Magt1","MAGT1",5953,8.40071687622596,NA
"2500","Tiam1","TIAM1",11383,16.0633899213976,NA
"2503","Septin3","SEPTIN3",5844,8.24689894585327,NA
"2504","Ppp2r3c","PPP2R3C",5263,7.42700704175663,NA
"2507","Slc6a7","SLC6A7",4315,6.08921439961616,NA
"2510","Rps6kl1","RPS6KL1",6141,8.66601752677702,NA
"2511","Cdx1","CDX1",4527,6.38838321832268,NA
"2512","Elp2","ELP2",5930,8.36825988174365,NA
"2513","Xlr4b","",5670,8.00135472672622,NA
"2514","E2f6","E2F6",4993,7.04599015000776,NA
"2515","Cfap91","",5528,7.80096806513978,NA
"2516","Cfap91","CFAP91",5528,7.80096806513978,NA
"2518","Pgf","PGF",4516,6.37286030791809,"NASMC6 "
"2519","Wbp2nl","WBP2NL",5554,7.83765858064152,NA
"2521","Naga","NAGA",4868,6.86959344086477,NA
"2526","Tecpr2","TECPR2",6589,9.29822333234551,NA
"2527","Cox17","COX17",4918,6.94015212452196,NA
"2529","Cox7b","",5729,8.08461397344171,NA
"2530","Sod1","SOD1",5792,8.17351791484978,NA
"2531","F8a","F8A2",5004,7.06151306041234,NA
"2532","F8a","F8A3",5004,7.06151306041234,NA
"2533","F8a","F8A1",5004,7.06151306041234,NA
"2534","Popdc2","POPDC2",4534,6.39826143403469,NA
"2535","Ube2a","UBE2A",6085,8.58699180108096,NA
"2536","Pla1a","PLA1A",5347,7.54554563030072,NA
"2537","Mocos","MOCOS",5436,7.67114008721053,NA
"2538","Adprh","ADPRH",4747,6.69884142641435,NA
"2539","Pheta2","PHETA2",5129,7.23790976955534,NA
"2541","Cd80","CD80",5551,7.83342505962209,NA
"2542","Eif2b2","EIF2B2",5435,7.66972891353739,NA
"2543","Smdt1","SMDT1",6210,8.76338851022395,NA
"2544","Pdgfrb","PDGFRB",4380,6.18094068837052,NA
"2546","Timmdc1","TIMMDC1",5262,7.42559586808348,NA
"2547","Gtsf1","GTSF1",6661,9.39982783681188,NA
"2552","Prorp","PRORP",5772,8.1452944413869,NA
"2553","Prorp","",5772,8.1452944413869,NA
"2555","Apex2","APEX2",4913,6.93309625615624,NA
"2560","Poglut1","POGLUT1",5223,7.37056009483087,NA
"2563","Pspc1","PSPC1",5197,7.33386957932913,NA
"2564","Scaf4","SCAF4",5656,7.9815982953022,NA
"2566","Dach1","DACH1",6238,8.80290137307198,NA
"2567","Csf1r","CSF1R",5106,7.20545277507303,NA
"2568","Ankrd9","ANKRD9",4262,6.01442219493953,NA
"2569","Ndufa6","NDUFA6",4718,6.65791738989317,NA
"2570","Nkrf","NKRF",5813,8.2031525619858,NA
"2575","Psma6","PSMA6",8195,11.5645682514147,NA
"2576","Xlr4c","",5315,7.50038807276011,NA
"2577","Gtsf2","",5590,7.8884608328747,NA
"2581","Cyp2d22","CYP2D6",5188,7.32116901627083,NA
"2592","Klf9","KLF9",4956,6.99377672410143,NA
"2594","Zmym5","ZMYM5",5182,7.31270197423197,NA
"2595","Rcor1","RCOR1",5274,7.44252995216121,NA
"2598","Rbm14","RBM14",4594,6.48293185442332,NA
"2602","Hunk","HUNK",7376,10.4088170131098,NA
"2603","Xlr3c","",5885,8.30475706645217,NA
"2606","Cyp2d11","CYP2D6",5487,7.74310994454087,NA
"2607","Hmgxb3","HMGXB3",5068,7.15182817549356,NA
"2608","Habp2","HABP2",5226,7.3747936158503,NA
"2612","Nckap1l","NCKAP1L",5555,7.83906975431466,NA
"2614","Xlr5c","FAM9C",4481,6.32346922935806,NA
"2615","Xlr5c","FAM9B",4481,6.32346922935806,NA
"2616","Xlr5c","FAM9A",4481,6.32346922935806,NA
"2617","Mlh3","MLH3",5788,8.1678732201572,NA
"2621","Mzt1","MZT1",5605,7.90962843797186,NA
"2629","Alas2","ALAS2",6106,8.61662644821698,NA
"2632","Wdhd1","WDHD1",5841,8.24266542483383,NA
"2634","Mis18a","MIS18A",4829,6.81455766761215,NA
"2636","Tmem39a","TMEM39A",6299,8.88898296713377,NA
"2640","Nfkbia","NFKBIA",5671,8.00276590039936,"NASMC7 SMC9 "
"2641","Slc26a2","SLC26A2",6343,8.9510746087521,NA
"2642","Fer1l6","FER1L6",5481,7.73464290250201,NA
"2644","Aldoart2","ALDOA",5138,7.25061033261363,NA
"2648","Insm2","INSM2",5559,7.84471444900724,NA
"2649","Atp7a","ATP7A",5736,8.09449218915372,NA
"2650","Fhod3","FHOD3",5167,7.29153436913481,NA
"2651","Acyp1","",7270,10.2592326037565,NA
"2653","Cyp2d10","CYP2D6",5979,8.4374073917277,NA
"2654","Rock2","ROCK2",5915,8.34709227664649,NA
"2655","Ccs","CCS",4939,6.96978677165799,NA
"2660","Socs4","SOCS4",5932,8.37108222908993,NA
"2661","Tmem65","TMEM65",4947,6.98107616104314,NA
"2664","Zmym2","ZMYM2",6150,8.67871808983532,NA
"2665","Urb1","URB1",4501,6.35169270282094,NA
"2667","Ccdc87","CCDC87",4933,6.96131972961912,NA
"2670","Ctsf","CTSF",4658,6.57324696950454,NA
"2671","Trmt12","TRMT12",5796,8.17916260954236,NA
"2672","Rnf139","RNF139",5804,8.19045199892751,NA
"2674","Tlr13","",6376,8.99764333996585,NA
"2675","Zfp275","",5406,7.62880487701621,NA
"2676","Dab2","DAB2",9786,13.8097455653867,NA
"2677","Bora","BORA",5442,7.6796071292494,NA
"2683","Zfp92","ZFP92",5659,7.98583181632163,NA
"2684","Myh11","MYH11",5666,7.99571003203364,"NASMC1 SMC2 "
"2685","Actn3","ACTN3",5311,7.49474337806754,NA
"2687","Zc2hc1c","ZC2HC1C",5419,7.64715013476709,NA
"2688","Pgk1","PGK1",5458,7.7021859080197,NA
"2696","Nek9","NEK9",5124,7.23085390118962,NA
"2698","Gja3","GJA3",5849,8.25395481421899,NA
"2701","Mapk1ip1l","MAPK1IP1L",7122,10.0503789001312,NA
"2702","Smc5","SMC5",6202,8.7520991208388,NA
"2703","Trex2","TREX2",5376,7.5864696668219,NA
"2706","Taf9b","TAF9B",6138,8.66178400575759,NA
"2707","Gjb2","GJB2",5234,7.38608300523545,NA
"2709","Traf3","TRAF3",5900,8.32592467154933,NA
"2714","Gjb6","GJB6",4757,6.71295316314579,NA
"2715","Pde6a","PDE6A",4937,6.9669644243117,NA
"2718","Cryl1","CRYL1",5708,8.05497932630569,NA
"2719","Septin6","SEPTIN6",5775,8.14952796240633,NA
"2723","Dis3","DIS3",5803,8.18904082525436,NA
"2726","Tmed10","TMED10",5196,7.33245840565598,NA
"2727","Tpgs2","TPGS2",5357,7.55965736703216,NA
"2728","Pqlc3","SLC66A3",5089,7.18146282262958,NA
"2729","Ppargc1b","PPARGC1B",4806,6.78210067312984,NA
"2731","Lgals3","LGALS3",6160,8.69282982656676,NA
"2735","Amn","AMN",4249,5.99607693718866,NA
"2742","2410004P03Rik","",5450,7.69089651863455,NA
"2743","AW554918","KIAA1328",5328,7.51873333051099,NA
"2745","Sowahd","SOWAHD",4810,6.78774536782242,NA
"2751","Zdhhc24","ZDHHC24",5471,7.72053116577057,NA
"2752","Ift88","IFT88",5835,8.23419838279497,NA
"2753","Kcnf1","KCNF1",4788,6.75669954701325,NA
