"","X","mgi_symbol","hsapiens_homolog_associated_gene_name","Associated_Myh11_TFs","Frequency","X..of.Myh11.TFs.that.bind.Mouse.gene.s.PPR"
"9869",9869,"Specc1","SPECC1",NA,1921,19.8041237113402
"293",293,"Elmo1","ELMO1",NA,1920,19.7938144329897
"3377",3377,"Hlcs","HLCS",NA,1915,19.7422680412371
"4922",4922,"Foxn3","FOXN3",NA,1913,19.7216494845361
"2288",2288,"Ctnna1","CTNNA1",NA,1910,19.6907216494845
"9282",9282,"Crem","CREM",NA,1907,19.659793814433
"6134",6134,"Epb41","EPB41",NA,1905,19.639175257732
"9279",9279,"Rbfox1","RBFOX1",NA,1905,19.639175257732
"4130",4130,"Anks1b","ANKS1B",NA,1904,19.6288659793814
"8095",8095,"Syne2","SYNE2",NA,1904,19.6288659793814
"12541",12541,"Fancc","FANCC",NA,1901,19.5979381443299
"17296",17296,"Osbpl10","OSBPL10",NA,1901,19.5979381443299
"9300",9300,"Pls3","PLS3",NA,1897,19.5567010309278
"21649",21649,"Eif2ak4","EIF2AK4",NA,1896,19.5463917525773
"6084",6084,"Hdac9","HDAC9",NA,1884,19.4226804123711
"14458",14458,"Ahcyl2","AHCYL2",NA,1880,19.3814432989691
"8341",8341,"Dlgap1","DLGAP1",NA,1878,19.360824742268
"11135",11135,"Ipcef1","",NA,1874,19.319587628866
"11136",11136,"Ipcef1","IPCEF1",NA,1874,19.319587628866
"8657",8657,"Mitf","MITF",NA,1872,19.2989690721649
"21767",21767,"Neb","NEB",NA,1869,19.2680412371134
"2335",2335,"Itsn1","ITSN1",NA,1868,19.2577319587629
"18901",18901,"Lingo2","LINGO2",NA,1866,19.2371134020619
"19242",19242,"Runx1t1","RUNX1T1",NA,1866,19.2371134020619
"6149",6149,"Sh3kbp1","SH3KBP1",NA,1864,19.2164948453608
"19661",19661,"Cep112","CEP112",NA,1864,19.2164948453608
"16876",16876,"Kcnip4","KCNIP4",NA,1857,19.1443298969072
"3581",3581,"Mast4","MAST4",NA,1842,18.9896907216495
"7026",7026,"Rreb1","RREB1",NA,1838,18.9484536082474
"12323",12323,"Eaf2","EAF2",NA,1838,18.9484536082474
"189",189,"Tjp2","TJP2",NA,1835,18.9175257731959
"190",190,"Tjp2","",NA,1835,18.9175257731959
"18532",18532,"Grip1","GRIP1",NA,1831,18.8762886597938
"7844",7844,"Mef2c","MEF2C",NA,1826,18.8247422680412
"11907",11907,"Cacnb2","CACNB2",NA,1825,18.8144329896907
"2871",2871,"Fam107b","FAM107B",NA,1821,18.7731958762887
"11107",11107,"Arhgap22","ARHGAP22",NA,1821,18.7731958762887
"7919",7919,"Nrcam","NRCAM",NA,1818,18.7422680412371
"9050",9050,"Tsc22d1","TSC22D1",NA,1818,18.7422680412371
"13125",13125,"Mbnl1","MBNL1",NA,1818,18.7422680412371
"7184",7184,"Foxp2","FOXP2",NA,1814,18.7010309278351
"6042",6042,"Tmcc3","TMCC3",NA,1812,18.680412371134
"14417",14417,"Plekha6","PLEKHA6",NA,1808,18.639175257732
"4822",4822,"Fgf1","FGF1",NA,1807,18.6288659793814
"13033",13033,"Magi2","MAGI2",NA,1803,18.5876288659794
"2762",2762,"Mapk10","MAPK10",NA,1802,18.5773195876289
"14113",14113,"Dlc1","DLC1",NA,1800,18.5567010309278
"2727",2727,"Cntnap2","CNTNAP2",NA,1799,18.5463917525773
"5983",5983,"Camta1","CAMTA1",NA,1799,18.5463917525773
"4636",4636,"Trim2","TRIM2",NA,1795,18.5051546391753
"17632",17632,"Rbpj","RBPJ",NA,1795,18.5051546391753
"19149",19149,"Apbb2","APBB2",NA,1795,18.5051546391753
"4291",4291,"Pknox2","PKNOX2",NA,1794,18.4948453608247
"10021",10021,"Lpp","LPP",NA,1790,18.4536082474227
"12792",12792,"Elavl2","ELAVL2",NA,1789,18.4432989690722
"10475",10475,"Trpm3","TRPM3",NA,1788,18.4329896907216
"7879",7879,"Nckap5","NCKAP5",NA,1786,18.4123711340206
"8700",8700,"Ank1","ANK1",NA,1783,18.3814432989691
"13434",13434,"Nebl","NEBL",NA,1777,18.319587628866
"8552",8552,"Lims1","LIMS3",NA,1774,18.2886597938144
"8553",8553,"Lims1","LIMS1",NA,1774,18.2886597938144
"8554",8554,"Lims1","LIMS4",NA,1774,18.2886597938144
"5780",5780,"Fer","FER",NA,1773,18.2783505154639
"5658",5658,"Sh3d19","SH3D19",NA,1772,18.2680412371134
"6182",6182,"Lcor","LCOR",NA,1770,18.2474226804124
"8805",8805,"Denn2b","DENND2B",NA,1768,18.2268041237113
"10894",10894,"Pde1c","PDE1C",NA,1767,18.2164948453608
"15954",15954,"Adgrl2","ADGRL2",NA,1763,18.1752577319588
"18649",18649,"Zfp385b","ZNF385B",NA,1763,18.1752577319588
"12707",12707,"Luzp1","LUZP1",NA,1762,18.1649484536082
"10244",10244,"Tacc1","TACC1",NA,1757,18.1134020618557
"3969",3969,"Cdh18","CDH18",NA,1755,18.0927835051546
"5778",5778,"Pid1","PID1",NA,1754,18.0824742268041
"5777",5777,"Kdm2b","KDM2B",NA,1751,18.0515463917526
"19207",19207,"Tns1","TNS1",NA,1749,18.0309278350515
"16771",16771,"Cacna1c","CACNA1C",NA,1742,17.9587628865979
"3073",3073,"Cd47","CD47",NA,1738,17.9175257731959
"6586",6586,"Ncald","NCALD",NA,1738,17.9175257731959
"4248",4248,"Stox2","STOX2",NA,1737,17.9072164948454
"7348",7348,"Osbpl3","OSBPL3",NA,1737,17.9072164948454
"17625",17625,"Efcab3","EFCAB3",NA,1735,17.8865979381443
"4672",4672,"Slc16a7","SLC16A7",NA,1734,17.8762886597938
"20259",20259,"Kcnj16","KCNJ16",NA,1734,17.8762886597938
"13708",13708,"Eps8","EPS8",NA,1732,17.8556701030928
"10506",10506,"Dnmt3a","DNMT3A",NA,1730,17.8350515463918
"4601",4601,"Tenm3","TENM3",NA,1729,17.8247422680412
"19272",19272,"Prr5l","PRR5L",NA,1728,17.8144329896907
"19900",19900,"Ptpre","PTPRE",NA,1728,17.8144329896907
"21604",21604,"Gnas","GNAS",NA,1727,17.8041237113402
"14317",14317,"Thrb","THRB",NA,1726,17.7938144329897
"13733",13733,"Klhl13","KLHL13",NA,1721,17.7422680412371
"11988",11988,"Myo16","MYO16",NA,1720,17.7319587628866
"7735",7735,"Marchf1","MARCHF1",NA,1718,17.7113402061856
"4517",4517,"Sulf1","SULF1",NA,1717,17.7010309278351
"8782",8782,"Osbpl1a","OSBPL1A",NA,1717,17.7010309278351
"10358",10358,"Pak3","PAK3",NA,1717,17.7010309278351
"6578",6578,"Adgrv1","ADGRV1",NA,1711,17.639175257732
"9181",9181,"Rgs12","RGS12",NA,1711,17.639175257732
"10898",10898,"Ncoa1","NCOA1",NA,1711,17.639175257732
"660",660,"Qtrt2","QTRT2",NA,1709,17.6185567010309
"5969",5969,"Mbnl3","MBNL3",NA,1703,17.5567010309278
"21782",21782,"Acvr1","ACVR1",NA,1699,17.5154639175258
"1474",1474,"Spata13","SPATA13",NA,1697,17.4948453608247
"1475",1475,"Spata13","",NA,1697,17.4948453608247
"15642",15642,"Arhgef10l","ARHGEF10L",NA,1696,17.4845360824742
"14365",14365,"Rimbp2","RIMBP2",NA,1694,17.4639175257732
"1647",1647,"Nrxn1","NRXN1",NA,1693,17.4536082474227
"12771",12771,"Phactr2","PHACTR2",NA,1692,17.4432989690722
"3599",3599,"Pcgf5","PCGF5",NA,1691,17.4329896907217
"5098",5098,"Fbxw7","FBXW7",NA,1689,17.4123711340206
"13187",13187,"Adgrl3","ADGRL3",NA,1689,17.4123711340206
"17112",17112,"Rapgef6","",NA,1689,17.4123711340206
"17113",17113,"Rapgef6","RAPGEF6",NA,1689,17.4123711340206
"13582",13582,"Pard3","PARD3",NA,1687,17.3917525773196
"10809",10809,"Ptprr","PTPRR",NA,1686,17.3814432989691
"16084",16084,"Hoxd3","HOXD3",NA,1684,17.360824742268
"8317",8317,"Gatad2a","GATAD2A",NA,1682,17.340206185567
"16060",16060,"Prkag2","PRKAG2",NA,1681,17.3298969072165
"2860",2860,"Filip1","FILIP1",NA,1680,17.319587628866
"8564",8564,"Scml2","SCML2",NA,1679,17.3092783505155
"13626",13626,"Tenm4","TENM4",NA,1679,17.3092783505155
"10037",10037,"Tnr","TNR",NA,1676,17.2783505154639
"12682",12682,"Plagl1","PLAGL1",NA,1676,17.2783505154639
"13533",13533,"Mllt10","MLLT10",NA,1674,17.2577319587629
"3077",3077,"Jmjd1c","JMJD1C",NA,1671,17.2268041237113
"5005",5005,"Cdk17","CDK17",NA,1670,17.2164948453608
"15387",15387,"Atp2c1","ATP2C1",NA,1669,17.2061855670103
"16114",16114,"Dab1","DAB1",NA,1669,17.2061855670103
"5474",5474,"Crybg1","CRYBG1",NA,1668,17.1958762886598
"8117",8117,"Il31ra","IL31RA",NA,1668,17.1958762886598
"13005",13005,"Atf7ip","ATF7IP",NA,1668,17.1958762886598
"15173",15173,"Chn1","CHN1",NA,1666,17.1752577319588
"3471",3471,"Trpm1","TRPM1",NA,1665,17.1649484536082
"17907",17907,"Fnbp1","FNBP1",NA,1663,17.1443298969072
"10254",10254,"Add3","ADD3",NA,1662,17.1340206185567
"14891",14891,"Pparg","PPARG",NA,1660,17.1134020618557
"19594",19594,"D7Ertd443e","C10orf90",NA,1660,17.1134020618557
"20694",20694,"Auts2","AUTS2",NA,1660,17.1134020618557
"5842",5842,"Dnhd1","DNHD1",NA,1658,17.0927835051546
"14011",14011,"Slc8a1","SLC8A1",NA,1658,17.0927835051546
"19072",19072,"Lrrc4c","LRRC4C",NA,1655,17.0618556701031
"6937",6937,"Maml2","MAML2",NA,1654,17.0515463917526
"12015",12015,"Ccser2","CCSER2",NA,1652,17.0309278350515
"9606",9606,"Svil","SVIL",NA,1650,17.0103092783505
"3696",3696,"Bcar3","BCAR3",NA,1649,17
"932",932,"Tcf20","TCF20",NA,1648,16.9896907216495
"6960",6960,"Slc38a4","SLC38A4",NA,1648,16.9896907216495
"14841",14841,"Fkbp5","FKBP5",NA,1647,16.979381443299
"4170",4170,"Retreg1","RETREG1",NA,1646,16.9690721649485
"10714",10714,"Fgf12","FGF12",NA,1646,16.9690721649485
"5032",5032,"Wdr17","WDR17",NA,1642,16.9278350515464
"4823",4823,"Cacna1a","CACNA1A",NA,1641,16.9175257731959
"2067",2067,"Ncoa7","NCOA7",NA,1640,16.9072164948454
"2145",2145,"Nectin3","NECTIN3",NA,1639,16.8969072164948
"4554",4554,"Tmem45a","TMEM45A",NA,1638,16.8865979381443
"6350",6350,"Cntn1","CNTN1",NA,1638,16.8865979381443
"7011",7011,"Rims2","RIMS2",NA,1636,16.8659793814433
"7090",7090,"Palld","PALLD",NA,1635,16.8556701030928
"211",211,"Ofcc1","",NA,1633,16.8350515463918
"10525",10525,"Gmnc","GMNC",NA,1629,16.7938144329897
"10582",10582,"Cntn3","CNTN3",NA,1629,16.7938144329897
"7114",7114,"Taf3","TAF3",NA,1628,16.7835051546392
"14387",14387,"Slc7a2","SLC7A2",NA,1627,16.7731958762887
"6805",6805,"Tiam2","TIAM2",NA,1625,16.7525773195876
"7119",7119,"1700019D03Rik","C2orf88",NA,1624,16.7422680412371
"21682",21682,"Strbp","STRBP",NA,1624,16.7422680412371
"275",275,"Lpin1","LPIN1",NA,1623,16.7319587628866
"968",968,"Hk1","HK1",NA,1623,16.7319587628866
"5138",5138,"Dpysl3","DPYSL3",NA,1623,16.7319587628866
"10528",10528,"Fbrsl1","FBRSL1",NA,1623,16.7319587628866
"17470",17470,"Sult2b1","SULT2B1",NA,1623,16.7319587628866
"10900",10900,"Ptprb","PTPRB",NA,1622,16.7216494845361
"1095",1095,"Spink10","SPINK9",NA,1620,16.701030927835
"1068",1068,"Cab39l","CAB39L",NA,1618,16.680412371134
"6713",6713,"Nrip1","NRIP1",NA,1617,16.6701030927835
"15798",15798,"Tfeb","TFEB",NA,1616,16.659793814433
"7025",7025,"Synpr","SYNPR",NA,1615,16.6494845360825
"19966",19966,"Nav2","NAV2",NA,1615,16.6494845360825
"9426",9426,"Cracd","CRACD",NA,1614,16.639175257732
"10412",10412,"Gigyf2","GIGYF2",NA,1613,16.6288659793814
"3000",3000,"Asah2","ASAH2",NA,1611,16.6082474226804
"14223",14223,"Tead1","TEAD1",NA,1610,16.5979381443299
"14390",14390,"Arhgef4","",NA,1609,16.5876288659794
"14606",14606,"Wipf1","WIPF1",NA,1607,16.5670103092784
"8253",8253,"Fbxw4","FBXW4",NA,1606,16.5567010309278
"18483",18483,"Zfp280d","",NA,1604,16.5360824742268
"18484",18484,"Zfp280d","ZNF280D",NA,1604,16.5360824742268
"15456",15456,"Nsd3","NSD3",NA,1602,16.5154639175258
"4286",4286,"Csrnp3","CSRNP3",NA,1601,16.5051546391753
"4863",4863,"Nr3c1","NR3C1",NA,1600,16.4948453608247
"15292",15292,"Sipa1l3","SIPA1L3",NA,1600,16.4948453608247
"21600",21600,"Dab2ip","DAB2IP",NA,1600,16.4948453608247
"3646",3646,"Ston2","STON2",NA,1599,16.4845360824742
"7370",7370,"Dnmbp","DNMBP",NA,1597,16.4639175257732
"20456",20456,"Ccdc73","CCDC73",NA,1597,16.4639175257732
"2516",2516,"Mypn","MYPN",NA,1596,16.4536082474227
"8204",8204,"Mgat4c","MGAT4C",NA,1596,16.4536082474227
"17003",17003,"Plekha7","PLEKHA7",NA,1594,16.4329896907217
"5072",5072,"Spsb1","SPSB1",NA,1592,16.4123711340206
"16583",16583,"Arpp21","ARPP21",NA,1591,16.4020618556701
"19180",19180,"Iftap","IFTAP",NA,1591,16.4020618556701
"13145",13145,"Mrtfa","MRTFA",NA,1589,16.3814432989691
"12526",12526,"Cd36","CD36",NA,1588,16.3711340206186
"613",613,"Dab2","DAB2",NA,1587,16.360824742268
"5007",5007,"Slc45a4","SLC45A4",NA,1585,16.340206185567
"13100",13100,"Rnf220","RNF220",NA,1585,16.340206185567
"12683",12683,"Cpeb3","CPEB3",NA,1583,16.319587628866
"2096",2096,"Mcf2l","MCF2L",NA,1581,16.2989690721649
"4534",4534,"Scp2","SCP2",NA,1581,16.2989690721649
"13822",13822,"Add2","ADD2",NA,1579,16.2783505154639
"2311",2311,"Gata4","GATA4",NA,1578,16.2680412371134
"8528",8528,"Fgf13","FGF13",NA,1578,16.2680412371134
"223",223,"Tiam1","TIAM1",NA,1577,16.2577319587629
"8582",8582,"Myo3b","MYO3B",NA,1576,16.2474226804124
"1472",1472,"Shank2","SHANK2",NA,1575,16.2371134020619
"5085",5085,"Ppp2r2b","PPP2R2B",NA,1574,16.2268041237113
"14716",14716,"Atxn7","ATXN7",NA,1574,16.2268041237113
"17000",17000,"Fnip1","FNIP1",NA,1574,16.2268041237113
"17318",17318,"Shc4","SHC4",NA,1574,16.2268041237113
"5135",5135,"Rapgef5","RAPGEF5",NA,1573,16.2164948453608
"8639",8639,"a","ASIP",NA,1572,16.2061855670103
"11754",11754,"Arhgap6","ARHGAP6",NA,1571,16.1958762886598
"10920",10920,"Ifi47","",NA,1570,16.1855670103093
"9834",9834,"Sipa1l1","SIPA1L1",NA,1569,16.1752577319588
"18820",18820,"Atp2b2","ATP2B2",NA,1569,16.1752577319588
"346",346,"Il13ra2","IL13RA2",NA,1568,16.1649484536082
"17620",17620,"Phc2","PHC2",NA,1568,16.1649484536082
"17658",17658,"Mical3","MICAL3",NA,1566,16.1443298969072
"4385",4385,"Exoc2","EXOC2",NA,1565,16.1340206185567
"13354",13354,"Mme","MME",NA,1565,16.1340206185567
"4568",4568,"Bcat1","BCAT1",NA,1563,16.1134020618557
"10322",10322,"Rbfox2","RBFOX2",NA,1563,16.1134020618557
"4791",4791,"Clasp1","CLASP1",NA,1561,16.0927835051546
"18549",18549,"Ankrd6","ANKRD6",NA,1561,16.0927835051546
"19316",19316,"Limch1","LIMCH1",NA,1560,16.0824742268041
"9641",9641,"Dgkh","DGKH",NA,1558,16.0618556701031
"10189",10189,"Pitpnm2","PITPNM2",NA,1558,16.0618556701031
"11101",11101,"Cntn4","CNTN4",NA,1558,16.0618556701031
"13793",13793,"Frmd5","FRMD5",NA,1558,16.0618556701031
"8373",8373,"Cd226","CD226",NA,1557,16.0515463917526
"9220",9220,"Chn2","CHN2",NA,1555,16.0309278350515
"9221",9221,"Chn2","",NA,1555,16.0309278350515
"14627",14627,"Pld1","PLD1",NA,1555,16.0309278350515
"6192",6192,"Lrba","LRBA",NA,1554,16.020618556701
"10388",10388,"Nup93","NUP93",NA,1554,16.020618556701
"14313",14313,"Vmn2r7","",NA,1554,16.020618556701
"21760",21760,"Lypd6","LYPD6",NA,1554,16.020618556701
"13689",13689,"Usp48","USP48",NA,1552,16
"4720",4720,"Plce1","PLCE1",NA,1551,15.9896907216495
"8103",8103,"Mgat5","MGAT5",NA,1551,15.9896907216495
"14468",14468,"Adora3","ADORA3",NA,1551,15.9896907216495
"19567",19567,"Aim2","AIM2",NA,1550,15.979381443299
"19544",19544,"Dhx32","DHX32",NA,1549,15.9690721649485
"1447",1447,"Dus2","DUS2",NA,1548,15.9587628865979
"9629",9629,"Nt5c2","NT5C2",NA,1547,15.9484536082474
"17383",17383,"Tbl1xr1","TBL1XR1",NA,1547,15.9484536082474
"17",17,"Gm21693","RBMY1E",NA,1546,15.9381443298969
"18",18,"Gm21693","RBMY1D",NA,1546,15.9381443298969
"19",19,"Gm21693","RBMY1B",NA,1546,15.9381443298969
"20",20,"Gm21693","RBMY1A1",NA,1546,15.9381443298969
"21",21,"Gm21693","RBMY1J",NA,1546,15.9381443298969
"22",22,"Gm21693","RBMY1F",NA,1546,15.9381443298969
"7619",7619,"Slc14a2","SLC14A2",NA,1544,15.9175257731959
"11416",11416,"Adamtsl1","ADAMTSL1",NA,1544,15.9175257731959
"17931",17931,"Acaca","ACACA",NA,1544,15.9175257731959
"10689",10689,"Tpd52","TPD52",NA,1542,15.8969072164948
"10690",10690,"Tpd52","",NA,1542,15.8969072164948
"12884",12884,"Fam241b","",NA,1542,15.8969072164948
"8123",8123,"Synj2","SYNJ2",NA,1541,15.8865979381443
"18681",18681,"Tmc5","TMC5",NA,1541,15.8865979381443
"3273",3273,"Bbx","BBX",NA,1540,15.8762886597938
"20791",20791,"Bdnf","BDNF",NA,1540,15.8762886597938
"21769",21769,"Cacnb4","CACNB4",NA,1539,15.8659793814433
"11654",11654,"Frmpd4","FRMPD4",NA,1538,15.8556701030928
"12078",12078,"Tbc1d14","TBC1D14",NA,1538,15.8556701030928
"19341",19341,"Ctbp2","CTBP2",NA,1537,15.8453608247423
"2306",2306,"Cmah","",NA,1535,15.8247422680412
"18200",18200,"Hepacam2","HEPACAM2",NA,1534,15.8144329896907
"693",693,"Smarca2","SMARCA2",NA,1533,15.8041237113402
"15236",15236,"Dnajc6","DNAJC6",NA,1532,15.7938144329897
"15309",15309,"Lonp2","LONP2",NA,1531,15.7835051546392
"10044",10044,"Rgs6","RGS6",NA,1530,15.7731958762887
"8810",8810,"Rasal2","RASAL2",NA,1529,15.7628865979381
"18675",18675,"Fam110b","FAM110B",NA,1529,15.7628865979381
"1353",1353,"Tent5d","TENT5D",NA,1528,15.7525773195876
"21221",21221,"Peli1","PELI1",NA,1528,15.7525773195876
"4772",4772,"Asb5","ASB5",NA,1526,15.7319587628866
"15001",15001,"Smr3a","",NA,1526,15.7319587628866
"2254",2254,"Cacna2d3","CACNA2D3",NA,1525,15.7216494845361
"9979",9979,"St6gal1","ST6GAL1",NA,1525,15.7216494845361
"11042",11042,"Fam126b","FAM126B",NA,1525,15.7216494845361
"1240",1240,"Mlip","MLIP",NA,1524,15.7113402061856
"3435",3435,"Rhobtb1","RHOBTB1",NA,1522,15.6907216494845
"13435",13435,"Rcan2","RCAN2",NA,1522,15.6907216494845
"12367",12367,"Abcg2","",NA,1521,15.680412371134
"13452",13452,"Xrcc6","XRCC6",NA,1520,15.6701030927835
"18278",18278,"Txnrd1","TXNRD1",NA,1518,15.6494845360825
"2769",2769,"Rcan1","",NA,1517,15.639175257732
"2770",2770,"Rcan1","RCAN1",NA,1517,15.639175257732
"8829",8829,"St7","",NA,1517,15.639175257732
"8830",8830,"St7","ST7",NA,1517,15.639175257732
"7868",7868,"Suclg2","SUCLG2",NA,1516,15.6288659793814
"16892",16892,"Gatad2b","GATAD2B",NA,1514,15.6082474226804
"21535",21535,"Plcb4","PLCB4",NA,1514,15.6082474226804
"13316",13316,"Kcnma1","KCNMA1",NA,1512,15.5876288659794
"7471",7471,"Syt16","SYT16",NA,1511,15.5773195876289
"976",976,"Pex5l","PEX5L",NA,1510,15.5670103092784
"4143",4143,"Nox1","NOX1",NA,1510,15.5670103092784
"19175",19175,"Osbp2","OSBP2",NA,1510,15.5670103092784
"12482",12482,"Jakmip1","JAKMIP1",NA,1509,15.5567010309278
"16094",16094,"Gse1","GSE1",NA,1509,15.5567010309278
"18700",18700,"Inip","INIP",NA,1509,15.5567010309278
"6737",6737,"Arhgap28","ARHGAP28",NA,1508,15.5463917525773
"11594",11594,"Srgap2","SRGAP2C",NA,1508,15.5463917525773
"11595",11595,"Srgap2","SRGAP2B",NA,1508,15.5463917525773
"21756",21756,"Mbd5","MBD5",NA,1508,15.5463917525773
"5212",5212,"Dido1","DIDO1",NA,1507,15.5360824742268
"6923",6923,"Synm","SYNM",NA,1507,15.5360824742268
"13497",13497,"Prkd3","PRKD3",NA,1507,15.5360824742268
"18826",18826,"Chd7","CHD7",NA,1507,15.5360824742268
"9091",9091,"Plekhg1","PLEKHG1",NA,1505,15.5154639175258
"10252",10252,"Myo18a","MYO18A",NA,1505,15.5154639175258
"13893",13893,"Rbpms","RBPMS",NA,1505,15.5154639175258
"3362",3362,"BC051142","TSBP1",NA,1504,15.5051546391753
"4111",4111,"Myo10","MYO10",NA,1504,15.5051546391753
"14105",14105,"Plekha5","PLEKHA5",NA,1504,15.5051546391753
"14950",14950,"Ccdc30","CCDC30",NA,1503,15.4948453608247
"4653",4653,"Cast","CAST",NA,1502,15.4845360824742
"18776",18776,"Prkg2","PRKG2",NA,1502,15.4845360824742
"12159",12159,"Focad","FOCAD",NA,1501,15.4742268041237
"13460",13460,"Sgk1","SGK1",NA,1501,15.4742268041237
"16865",16865,"Ankrd11","ANKRD11",NA,1501,15.4742268041237
"1855",1855,"Esrrb","ESRRB",NA,1500,15.4639175257732
"3410",3410,"Tenm1","TENM1",NA,1500,15.4639175257732
"7636",7636,"Epb41l3","EPB41L3",NA,1496,15.4226804123711
"13393",13393,"Mical2","MICAL2",NA,1495,15.4123711340206
"8498",8498,"Maml3","MAML3",NA,1494,15.4020618556701
"5131",5131,"Sptbn1","SPTBN1",NA,1493,15.3917525773196
"1045",1045,"Lims2","LIMS2",NA,1492,15.3814432989691
"5821",5821,"Pcx","PC",NA,1492,15.3814432989691
"8643",8643,"Hmox2","HMOX2",NA,1492,15.3814432989691
