"","X","mgi_symbol","hsapiens_homolog_associated_gene_name","Associated_Myh11_TFs","Frequency","X..of.Myh11.TFs.that.bind.Mouse.gene.s.PPR"
"8052",8052,"Septin9","SEPTIN9",NA,2128,21.9381443298969
"12098",12098,"Tspan5","TSPAN5",NA,2127,21.9278350515464
"16088",16088,"Mecom","MECOM",NA,2125,21.9072164948454
"1731",1731,"Arhgap24","ARHGAP24",NA,2117,21.8247422680412
"13751",13751,"Epb41l2","EPB41L2",NA,2112,21.7731958762887
"3364",3364,"Nrxn3","NRXN3",NA,2111,21.7628865979381
"5335",5335,"Abr","ABR",NA,2103,21.680412371134
"11823",11823,"Kalrn","KALRN",NA,2101,21.659793814433
"7811",7811,"Psd3","PSD3",NA,2092,21.5670103092784
"6928",6928,"Pde4d","PDE4D",NA,2090,21.5463917525773
"12165",12165,"Mid1","MID1",NA,2087,21.5154639175258
"13259",13259,"Nrg1","NRG1",NA,2052,21.1546391752577
"13454",13454,"Nrg1","",NA,2052,21.1546391752577
"21551",21551,"Fmn1","FMN1",NA,2051,21.1443298969072
"3218",3218,"Phactr3","PHACTR3",NA,2049,21.1237113402062
"17006",17006,"Dpp6","DPP6",NA,2045,21.0824742268041
"4936",4936,"Sorbs1","SORBS1",NA,2041,21.0412371134021
"6655",6655,"Prickle2","PRICKLE2",NA,2038,21.0103092783505
"11877",11877,"Kifc3","KIFC3",NA,2032,20.9484536082474
"751",751,"Phactr1","PHACTR1",NA,2030,20.9278350515464
"3482",3482,"Fyn","FYN",NA,2028,20.9072164948454
"18564",18564,"Glcci1","GLCCI1",NA,2024,20.8659793814433
"15326",15326,"Tmcc1","TMCC1",NA,2019,20.8144329896907
"10042",10042,"Pde10a","PDE10A",NA,2014,20.7628865979381
"10670",10670,"Fry","FRY",NA,2013,20.7525773195876
"2415",2415,"Sorbs2","SORBS2",NA,2012,20.7422680412371
"15070",15070,"Schip1","SCHIP1",NA,2011,20.7319587628866
"15071",15071,"Schip1","IQCJ-SCHIP1",NA,2011,20.7319587628866
"12671",12671,"Rasgrp3","RASGRP3",NA,2006,20.680412371134
"4141",4141,"Rgs3","RGS3",NA,2001,20.6288659793814
"5817",5817,"Tnfaip8","TNFAIP8",NA,1998,20.5979381443299
"9541",9541,"Chd9","CHD9",NA,1996,20.5773195876289
"17980",17980,"Shroom3","SHROOM3",NA,1996,20.5773195876289
"1233",1233,"Ablim1","ABLIM1",NA,1993,20.5463917525773
"2616",2616,"Prlr","PRLR",NA,1986,20.4742268041237
"2288",2288,"Ctnna1","CTNNA1",NA,1982,20.4329896907217
"293",293,"Elmo1","ELMO1",NA,1979,20.4020618556701
"4693",4693,"Iqsec1","IQSEC1",NA,1974,20.3505154639175
"17315",17315,"Tln2","TLN2",NA,1973,20.340206185567
"3377",3377,"Hlcs","HLCS",NA,1972,20.3298969072165
"9339",9339,"Pde4dip","PDE4DIP",NA,1967,20.2783505154639
"12541",12541,"Fancc","FANCC",NA,1962,20.2268041237113
"21649",21649,"Eif2ak4","EIF2AK4",NA,1952,20.1237113402062
"1239",1239,"Fgd4","FGD4",NA,1949,20.0927835051546
"6084",6084,"Hdac9","HDAC9",NA,1948,20.0824742268041
"4922",4922,"Foxn3","FOXN3",NA,1938,19.979381443299
"2793",2793,"Ripor2","RIPOR2",NA,1937,19.9690721649485
"6149",6149,"Sh3kbp1","SH3KBP1",NA,1935,19.9484536082474
"9869",9869,"Specc1","SPECC1",NA,1930,19.8969072164948
"18901",18901,"Lingo2","LINGO2",NA,1929,19.8865979381443
"4130",4130,"Anks1b","ANKS1B",NA,1927,19.8659793814433
"17296",17296,"Osbpl10","OSBPL10",NA,1927,19.8659793814433
"8095",8095,"Syne2","SYNE2",NA,1919,19.7835051546392
"9279",9279,"Rbfox1","RBFOX1",NA,1914,19.7319587628866
"9282",9282,"Crem","CREM",NA,1913,19.7216494845361
"6134",6134,"Epb41","EPB41",NA,1911,19.701030927835
"9300",9300,"Pls3","PLS3",NA,1902,19.6082474226804
"3581",3581,"Mast4","MAST4",NA,1901,19.5979381443299
"8341",8341,"Dlgap1","DLGAP1",NA,1898,19.5670103092784
"16876",16876,"Kcnip4","KCNIP4",NA,1891,19.4948453608247
"14458",14458,"Ahcyl2","AHCYL2",NA,1887,19.4536082474227
"2335",2335,"Itsn1","ITSN1",NA,1884,19.4226804123711
"8657",8657,"Mitf","MITF",NA,1884,19.4226804123711
"11135",11135,"Ipcef1","",NA,1883,19.4123711340206
"11136",11136,"Ipcef1","IPCEF1",NA,1883,19.4123711340206
"7844",7844,"Mef2c","MEF2C",NA,1881,19.3917525773196
"19242",19242,"Runx1t1","RUNX1T1",NA,1881,19.3917525773196
"19661",19661,"Cep112","CEP112",NA,1877,19.3505154639175
"21767",21767,"Neb","NEB",NA,1876,19.340206185567
"189",189,"Tjp2","TJP2",NA,1870,19.2783505154639
"190",190,"Tjp2","",NA,1870,19.2783505154639
"2762",2762,"Mapk10","MAPK10",NA,1870,19.2783505154639
"13434",13434,"Nebl","NEBL",NA,1869,19.2680412371134
"2727",2727,"Cntnap2","CNTNAP2",NA,1861,19.1855670103093
"5983",5983,"Camta1","CAMTA1",NA,1857,19.1443298969072
"12792",12792,"Elavl2","ELAVL2",NA,1855,19.1237113402062
"7026",7026,"Rreb1","RREB1",NA,1853,19.1030927835052
"10021",10021,"Lpp","LPP",NA,1848,19.0515463917526
"6182",6182,"Lcor","LCOR",NA,1847,19.0412371134021
"12323",12323,"Eaf2","EAF2",NA,1844,19.0103092783505
"18532",18532,"Grip1","GRIP1",NA,1844,19.0103092783505
"5658",5658,"Sh3d19","SH3D19",NA,1841,18.979381443299
"11107",11107,"Arhgap22","ARHGAP22",NA,1841,18.979381443299
"7879",7879,"Nckap5","NCKAP5",NA,1840,18.9690721649485
"2871",2871,"Fam107b","FAM107B",NA,1839,18.9587628865979
"11907",11907,"Cacnb2","CACNB2",NA,1834,18.9072164948454
"13125",13125,"Mbnl1","MBNL1",NA,1834,18.9072164948454
"9050",9050,"Tsc22d1","TSC22D1",NA,1831,18.8762886597938
"7919",7919,"Nrcam","NRCAM",NA,1826,18.8247422680412
"14417",14417,"Plekha6","PLEKHA6",NA,1826,18.8247422680412
"6042",6042,"Tmcc3","TMCC3",NA,1824,18.8041237113402
"4822",4822,"Fgf1","FGF1",NA,1823,18.7938144329897
"10894",10894,"Pde1c","PDE1C",NA,1820,18.7628865979381
"19149",19149,"Apbb2","APBB2",NA,1820,18.7628865979381
"18649",18649,"Zfp385b","ZNF385B",NA,1818,18.7422680412371
"4636",4636,"Trim2","TRIM2",NA,1817,18.7319587628866
"7184",7184,"Foxp2","FOXP2",NA,1817,18.7319587628866
"8700",8700,"Ank1","ANK1",NA,1816,18.7216494845361
"12707",12707,"Luzp1","LUZP1",NA,1816,18.7216494845361
"15954",15954,"Adgrl2","ADGRL2",NA,1816,18.7216494845361
"16771",16771,"Cacna1c","CACNA1C",NA,1816,18.7216494845361
"3969",3969,"Cdh18","CDH18",NA,1814,18.7010309278351
"13033",13033,"Magi2","MAGI2",NA,1811,18.6701030927835
"14113",14113,"Dlc1","DLC1",NA,1808,18.639175257732
"17625",17625,"Efcab3","EFCAB3",NA,1806,18.6185567010309
"17632",17632,"Rbpj","RBPJ",NA,1804,18.5979381443299
"4291",4291,"Pknox2","PKNOX2",NA,1799,18.5463917525773
"7348",7348,"Osbpl3","OSBPL3",NA,1798,18.5360824742268
"10475",10475,"Trpm3","TRPM3",NA,1794,18.4948453608247
"20259",20259,"Kcnj16","KCNJ16",NA,1793,18.4845360824742
"8552",8552,"Lims1","LIMS3",NA,1790,18.4536082474227
"8553",8553,"Lims1","LIMS1",NA,1790,18.4536082474227
"8554",8554,"Lims1","LIMS4",NA,1790,18.4536082474227
"8805",8805,"Denn2b","DENND2B",NA,1790,18.4536082474227
"5780",5780,"Fer","FER",NA,1784,18.3917525773196
"4601",4601,"Tenm3","TENM3",NA,1782,18.3711340206186
"8782",8782,"Osbpl1a","OSBPL1A",NA,1777,18.319587628866
"5778",5778,"Pid1","PID1",NA,1776,18.3092783505155
"5777",5777,"Kdm2b","KDM2B",NA,1772,18.2680412371134
"7735",7735,"Marchf1","MARCHF1",NA,1771,18.2577319587629
"6578",6578,"Adgrv1","ADGRV1",NA,1767,18.2164948453608
"10244",10244,"Tacc1","TACC1",NA,1767,18.2164948453608
"19207",19207,"Tns1","TNS1",NA,1767,18.2164948453608
"13708",13708,"Eps8","EPS8",NA,1766,18.2061855670103
"4248",4248,"Stox2","STOX2",NA,1762,18.1649484536082
"12771",12771,"Phactr2","PHACTR2",NA,1761,18.1546391752577
"21604",21604,"Gnas","GNAS",NA,1758,18.1237113402062
"10809",10809,"Ptprr","PTPRR",NA,1756,18.1030927835052
"16060",16060,"Prkag2","PRKAG2",NA,1756,18.1030927835052
"6586",6586,"Ncald","NCALD",NA,1753,18.0721649484536
"19900",19900,"Ptpre","PTPRE",NA,1753,18.0721649484536
"10506",10506,"Dnmt3a","DNMT3A",NA,1752,18.0618556701031
"14365",14365,"Rimbp2","RIMBP2",NA,1751,18.0515463917526
"14317",14317,"Thrb","THRB",NA,1749,18.0309278350515
"3073",3073,"Cd47","CD47",NA,1746,18
"17112",17112,"Rapgef6","",NA,1742,17.9587628865979
"17113",17113,"Rapgef6","RAPGEF6",NA,1742,17.9587628865979
"4672",4672,"Slc16a7","SLC16A7",NA,1740,17.9381443298969
"19272",19272,"Prr5l","PRR5L",NA,1737,17.9072164948454
"3471",3471,"Trpm1","TRPM1",NA,1736,17.8969072164948
"16084",16084,"Hoxd3","HOXD3",NA,1736,17.8969072164948
"9181",9181,"Rgs12","RGS12",NA,1735,17.8865979381443
"10898",10898,"Ncoa1","NCOA1",NA,1734,17.8762886597938
"12682",12682,"Plagl1","PLAGL1",NA,1734,17.8762886597938
"16114",16114,"Dab1","DAB1",NA,1734,17.8762886597938
"15173",15173,"Chn1","CHN1",NA,1733,17.8659793814433
"11988",11988,"Myo16","MYO16",NA,1731,17.8453608247423
"13733",13733,"Klhl13","KLHL13",NA,1729,17.8247422680412
"15387",15387,"Atp2c1","ATP2C1",NA,1729,17.8247422680412
"10358",10358,"Pak3","PAK3",NA,1728,17.8144329896907
"4517",4517,"Sulf1","SULF1",NA,1727,17.8041237113402
"5005",5005,"Cdk17","CDK17",NA,1724,17.7731958762887
"3077",3077,"Jmjd1c","JMJD1C",NA,1723,17.7628865979381
"21782",21782,"Acvr1","ACVR1",NA,1723,17.7628865979381
"10254",10254,"Add3","ADD3",NA,1721,17.7422680412371
"13005",13005,"Atf7ip","ATF7IP",NA,1721,17.7422680412371
"660",660,"Qtrt2","QTRT2",NA,1717,17.7010309278351
"15642",15642,"Arhgef10l","ARHGEF10L",NA,1716,17.6907216494845
"5842",5842,"Dnhd1","DNHD1",NA,1712,17.6494845360825
"19072",19072,"Lrrc4c","LRRC4C",NA,1712,17.6494845360825
"5969",5969,"Mbnl3","MBNL3",NA,1709,17.6185567010309
"12015",12015,"Ccser2","CCSER2",NA,1707,17.5979381443299
"1647",1647,"Nrxn1","NRXN1",NA,1706,17.5876288659794
"13582",13582,"Pard3","PARD3",NA,1706,17.5876288659794
"3599",3599,"Pcgf5","PCGF5",NA,1705,17.5773195876289
"1474",1474,"Spata13","SPATA13",NA,1701,17.5360824742268
"1475",1475,"Spata13","",NA,1701,17.5360824742268
"5098",5098,"Fbxw7","FBXW7",NA,1701,17.5360824742268
"8317",8317,"Gatad2a","GATAD2A",NA,1701,17.5360824742268
"10714",10714,"Fgf12","FGF12",NA,1701,17.5360824742268
"13626",13626,"Tenm4","TENM4",NA,1701,17.5360824742268
"4823",4823,"Cacna1a","CACNA1A",NA,1699,17.5154639175258
"2067",2067,"Ncoa7","NCOA7",NA,1696,17.4845360824742
"5032",5032,"Wdr17","WDR17",NA,1695,17.4742268041237
"6350",6350,"Cntn1","CNTN1",NA,1695,17.4742268041237
"9426",9426,"Cracd","CRACD",NA,1695,17.4742268041237
"13187",13187,"Adgrl3","ADGRL3",NA,1694,17.4639175257732
"17907",17907,"Fnbp1","FNBP1",NA,1693,17.4536082474227
"4554",4554,"Tmem45a","TMEM45A",NA,1692,17.4432989690722
"8564",8564,"Scml2","SCML2",NA,1692,17.4432989690722
"19594",19594,"D7Ertd443e","C10orf90",NA,1692,17.4432989690722
"2860",2860,"Filip1","FILIP1",NA,1689,17.4123711340206
"5138",5138,"Dpysl3","DPYSL3",NA,1687,17.3917525773196
"10037",10037,"Tnr","TNR",NA,1687,17.3917525773196
"7011",7011,"Rims2","RIMS2",NA,1686,17.3814432989691
"8253",8253,"Fbxw4","FBXW4",NA,1682,17.340206185567
"10582",10582,"Cntn3","CNTN3",NA,1682,17.340206185567
"13533",13533,"Mllt10","MLLT10",NA,1682,17.340206185567
"5474",5474,"Crybg1","CRYBG1",NA,1680,17.319587628866
"12526",12526,"Cd36","CD36",NA,1679,17.3092783505155
"14390",14390,"Arhgef4","",NA,1678,17.298969072165
"7370",7370,"Dnmbp","DNMBP",NA,1676,17.2783505154639
"14011",14011,"Slc8a1","SLC8A1",NA,1673,17.2474226804124
"932",932,"Tcf20","TCF20",NA,1672,17.2371134020619
"8117",8117,"Il31ra","IL31RA",NA,1670,17.2164948453608
"14891",14891,"Pparg","PPARG",NA,1668,17.1958762886598
"7025",7025,"Synpr","SYNPR",NA,1667,17.1855670103093
"20694",20694,"Auts2","AUTS2",NA,1667,17.1855670103093
"3696",3696,"Bcar3","BCAR3",NA,1664,17.1546391752577
"14841",14841,"Fkbp5","FKBP5",NA,1663,17.1443298969072
"18483",18483,"Zfp280d","",NA,1662,17.1340206185567
"18484",18484,"Zfp280d","ZNF280D",NA,1662,17.1340206185567
"6937",6937,"Maml2","MAML2",NA,1661,17.1237113402062
"13145",13145,"Mrtfa","MRTFA",NA,1660,17.1134020618557
"6960",6960,"Slc38a4","SLC38A4",NA,1659,17.1030927835052
"4863",4863,"Nr3c1","NR3C1",NA,1655,17.0618556701031
"9606",9606,"Svil","SVIL",NA,1655,17.0618556701031
"4170",4170,"Retreg1","RETREG1",NA,1653,17.0412371134021
"5007",5007,"Slc45a4","SLC45A4",NA,1650,17.0103092783505
"7090",7090,"Palld","PALLD",NA,1650,17.0103092783505
"7114",7114,"Taf3","TAF3",NA,1648,16.9896907216495
"2145",2145,"Nectin3","NECTIN3",NA,1646,16.9690721649485
"8204",8204,"Mgat4c","MGAT4C",NA,1645,16.9587628865979
"19180",19180,"Iftap","IFTAP",NA,1645,16.9587628865979
"211",211,"Ofcc1","",NA,1644,16.9484536082474
"21682",21682,"Strbp","STRBP",NA,1643,16.9381443298969
"14387",14387,"Slc7a2","SLC7A2",NA,1642,16.9278350515464
"275",275,"Lpin1","LPIN1",NA,1641,16.9175257731959
"17470",17470,"Sult2b1","SULT2B1",NA,1640,16.9072164948454
"968",968,"Hk1","HK1",NA,1639,16.8969072164948
"6805",6805,"Tiam2","TIAM2",NA,1639,16.8969072164948
"10189",10189,"Pitpnm2","PITPNM2",NA,1633,16.8350515463918
"10525",10525,"Gmnc","GMNC",NA,1633,16.8350515463918
"7119",7119,"1700019D03Rik","C2orf88",NA,1632,16.8247422680412
"8528",8528,"Fgf13","FGF13",NA,1632,16.8247422680412
"1068",1068,"Cab39l","CAB39L",NA,1630,16.8041237113402
"1095",1095,"Spink10","SPINK9",NA,1629,16.7938144329897
"10322",10322,"Rbfox2","RBFOX2",NA,1629,16.7938144329897
"10528",10528,"Fbrsl1","FBRSL1",NA,1629,16.7938144329897
"3000",3000,"Asah2","ASAH2",NA,1628,16.7835051546392
"14716",14716,"Atxn7","ATXN7",NA,1628,16.7835051546392
"10900",10900,"Ptprb","PTPRB",NA,1627,16.7731958762887
"15798",15798,"Tfeb","TFEB",NA,1626,16.7628865979381
"6713",6713,"Nrip1","NRIP1",NA,1625,16.7525773195876
"19966",19966,"Nav2","NAV2",NA,1625,16.7525773195876
"10388",10388,"Nup93","NUP93",NA,1621,16.7113402061856
"10412",10412,"Gigyf2","GIGYF2",NA,1621,16.7113402061856
"15292",15292,"Sipa1l3","SIPA1L3",NA,1621,16.7113402061856
"17003",17003,"Plekha7","PLEKHA7",NA,1621,16.7113402061856
"14223",14223,"Tead1","TEAD1",NA,1620,16.701030927835
"346",346,"Il13ra2","IL13RA2",NA,1617,16.6701030927835
"13354",13354,"Mme","MME",NA,1617,16.6701030927835
"4385",4385,"Exoc2","EXOC2",NA,1616,16.659793814433
"21600",21600,"Dab2ip","DAB2IP",NA,1616,16.659793814433
"14606",14606,"Wipf1","WIPF1",NA,1614,16.639175257732
"4286",4286,"Csrnp3","CSRNP3",NA,1612,16.6185567010309
"15456",15456,"Nsd3","NSD3",NA,1611,16.6082474226804
"3646",3646,"Ston2","STON2",NA,1609,16.5876288659794
"2306",2306,"Cmah","",NA,1608,16.5773195876289
"2311",2311,"Gata4","GATA4",NA,1608,16.5773195876289
"13100",13100,"Rnf220","RNF220",NA,1608,16.5773195876289
"15236",15236,"Dnajc6","DNAJC6",NA,1607,16.5670103092784
"20456",20456,"Ccdc73","CCDC73",NA,1606,16.5567010309278
"5072",5072,"Spsb1","SPSB1",NA,1605,16.5463917525773
"5135",5135,"Rapgef5","RAPGEF5",NA,1605,16.5463917525773
"2516",2516,"Mypn","MYPN",NA,1603,16.5257731958763
"1447",1447,"Dus2","DUS2",NA,1601,16.5051546391753
"10689",10689,"Tpd52","TPD52",NA,1601,16.5051546391753
"10690",10690,"Tpd52","",NA,1601,16.5051546391753
"12683",12683,"Cpeb3","CPEB3",NA,1600,16.4948453608247
"17620",17620,"Phc2","PHC2",NA,1600,16.4948453608247
"11042",11042,"Fam126b","FAM126B",NA,1599,16.4845360824742
"16583",16583,"Arpp21","ARPP21",NA,1599,16.4845360824742
"223",223,"Tiam1","TIAM1",NA,1598,16.4742268041237
"613",613,"Dab2","DAB2",NA,1598,16.4742268041237
"2096",2096,"Mcf2l","MCF2L",NA,1595,16.4432989690722
"2254",2254,"Cacna2d3","CACNA2D3",NA,1592,16.4123711340206
"14627",14627,"Pld1","PLD1",NA,1592,16.4123711340206
"693",693,"Smarca2","SMARCA2",NA,1590,16.3917525773196
"21769",21769,"Cacnb4","CACNB4",NA,1590,16.3917525773196
"5085",5085,"Ppp2r2b","PPP2R2B",NA,1589,16.3814432989691
"1472",1472,"Shank2","SHANK2",NA,1587,16.360824742268
"4534",4534,"Scp2","SCP2",NA,1587,16.360824742268
"13822",13822,"Add2","ADD2",NA,1587,16.360824742268
"17000",17000,"Fnip1","FNIP1",NA,1584,16.3298969072165
"6737",6737,"Arhgap28","ARHGAP28",NA,1583,16.319587628866
"4772",4772,"Asb5","ASB5",NA,1582,16.3092783505155
"8582",8582,"Myo3b","MYO3B",NA,1582,16.3092783505155
"8639",8639,"a","ASIP",NA,1581,16.2989690721649
"10920",10920,"Ifi47","",NA,1581,16.2989690721649
"4143",4143,"Nox1","NOX1",NA,1579,16.2783505154639
"1353",1353,"Tent5d","TENT5D",NA,1578,16.2680412371134
"17318",17318,"Shc4","SHC4",NA,1578,16.2680412371134
"18820",18820,"Atp2b2","ATP2B2",NA,1577,16.2577319587629
"9834",9834,"Sipa1l1","SIPA1L1",NA,1575,16.2371134020619
"12367",12367,"Abcg2","",NA,1575,16.2371134020619
"17658",17658,"Mical3","MICAL3",NA,1575,16.2371134020619
"11754",11754,"Arhgap6","ARHGAP6",NA,1574,16.2268041237113
"13689",13689,"Usp48","USP48",NA,1574,16.2268041237113
"3435",3435,"Rhobtb1","RHOBTB1",NA,1573,16.2164948453608
"7619",7619,"Slc14a2","SLC14A2",NA,1573,16.2164948453608
"18549",18549,"Ankrd6","ANKRD6",NA,1573,16.2164948453608
"19316",19316,"Limch1","LIMCH1",NA,1573,16.2164948453608
"6923",6923,"Synm","SYNM",NA,1572,16.2061855670103
"976",976,"Pex5l","PEX5L",NA,1570,16.1855670103093
"17383",17383,"Tbl1xr1","TBL1XR1",NA,1570,16.1855670103093
"4568",4568,"Bcat1","BCAT1",NA,1569,16.1752577319588
"4791",4791,"Clasp1","CLASP1",NA,1569,16.1752577319588
"11594",11594,"Srgap2","SRGAP2C",NA,1567,16.1546391752577
"11595",11595,"Srgap2","SRGAP2B",NA,1567,16.1546391752577
"13316",13316,"Kcnma1","KCNMA1",NA,1567,16.1546391752577
"9641",9641,"Dgkh","DGKH",NA,1566,16.1443298969072
"8373",8373,"Cd226","CD226",NA,1565,16.1340206185567
"11137",11137,"Mast2","MAST2",NA,1565,16.1340206185567
"3362",3362,"BC051142","TSBP1",NA,1564,16.1237113402062
"13893",13893,"Rbpms","RBPMS",NA,1564,16.1237113402062
"14950",14950,"Ccdc30","CCDC30",NA,1564,16.1237113402062
"9220",9220,"Chn2","CHN2",NA,1563,16.1134020618557
"9221",9221,"Chn2","",NA,1563,16.1134020618557
"11101",11101,"Cntn4","CNTN4",NA,1563,16.1134020618557
"13497",13497,"Prkd3","PRKD3",NA,1563,16.1134020618557
"13793",13793,"Frmd5","FRMD5",NA,1562,16.1030927835052
"14468",14468,"Adora3","ADORA3",NA,1562,16.1030927835052
"11416",11416,"Adamtsl1","ADAMTSL1",NA,1561,16.0927835051546
"21760",21760,"Lypd6","LYPD6",NA,1561,16.0927835051546
"9629",9629,"Nt5c2","NT5C2",NA,1560,16.0824742268041
"4653",4653,"Cast","CAST",NA,1558,16.0618556701031
"6192",6192,"Lrba","LRBA",NA,1558,16.0618556701031
"19544",19544,"Dhx32","DHX32",NA,1558,16.0618556701031
"4720",4720,"Plce1","PLCE1",NA,1557,16.0515463917526
"14313",14313,"Vmn2r7","",NA,1557,16.0515463917526
"19341",19341,"Ctbp2","CTBP2",NA,1557,16.0515463917526
"19567",19567,"Aim2","AIM2",NA,1557,16.0515463917526
"3410",3410,"Tenm1","TENM1",NA,1555,16.0309278350515
"8103",8103,"Mgat5","MGAT5",NA,1555,16.0309278350515
"8123",8123,"Synj2","SYNJ2",NA,1555,16.0309278350515
"16865",16865,"Ankrd11","ANKRD11",NA,1555,16.0309278350515
"18681",18681,"Tmc5","TMC5",NA,1555,16.0309278350515
"3624",3624,"Ptprj","PTPRJ",NA,1554,16.020618556701
"12884",12884,"Fam241b","",NA,1553,16.0103092783505
"9462",9462,"Zmat4","ZMAT4",NA,1552,16
"17",17,"Gm21693","RBMY1E",NA,1550,15.979381443299
"18",18,"Gm21693","RBMY1D",NA,1550,15.979381443299
"19",19,"Gm21693","RBMY1B",NA,1550,15.979381443299
"20",20,"Gm21693","RBMY1A1",NA,1550,15.979381443299
"21",21,"Gm21693","RBMY1J",NA,1550,15.979381443299
"22",22,"Gm21693","RBMY1F",NA,1550,15.979381443299
"12078",12078,"Tbc1d14","TBC1D14",NA,1550,15.979381443299
"11654",11654,"Frmpd4","FRMPD4",NA,1549,15.9690721649485
"17931",17931,"Acaca","ACACA",NA,1549,15.9690721649485
"18675",18675,"Fam110b","FAM110B",NA,1548,15.9587628865979
"20791",20791,"Bdnf","BDNF",NA,1548,15.9587628865979
"17576",17576,"Hnf4g","HNF4G",NA,1547,15.9484536082474
"3273",3273,"Bbx","BBX",NA,1545,15.9278350515464
"15151",15151,"Ndel1","NDEL1",NA,1545,15.9278350515464
"16094",16094,"Gse1","GSE1",NA,1545,15.9278350515464
"18200",18200,"Hepacam2","HEPACAM2",NA,1545,15.9278350515464
"8810",8810,"Rasal2","RASAL2",NA,1543,15.9072164948454
"2723",2723,"Cdk14","CDK14",NA,1542,15.8969072164948
"8829",8829,"St7","",NA,1541,15.8865979381443
"8830",8830,"St7","ST7",NA,1541,15.8865979381443
"7868",7868,"Suclg2","SUCLG2",NA,1540,15.8762886597938
"15001",15001,"Smr3a","",NA,1539,15.8659793814433
"11308",11308,"Ptpn20","PTPN20",NA,1536,15.8350515463918
"19902",19902,"Col15a1","COL15A1",NA,1536,15.8350515463918
"2790",2790,"Dse","DSE",NA,1535,15.8247422680412
"2791",2791,"Dse","",NA,1535,15.8247422680412
"13435",13435,"Rcan2","RCAN2",NA,1535,15.8247422680412
"15309",15309,"Lonp2","LONP2",NA,1535,15.8247422680412
"15781",15781,"Atf2","ATF2",NA,1535,15.8247422680412
"19175",19175,"Osbp2","OSBP2",NA,1535,15.8247422680412
"21221",21221,"Peli1","PELI1",NA,1535,15.8247422680412
"5883",5883,"Macc1","MACC1",NA,1534,15.8144329896907
"10044",10044,"Rgs6","RGS6",NA,1534,15.8144329896907
"2769",2769,"Rcan1","",NA,1533,15.8041237113402
"2770",2770,"Rcan1","RCAN1",NA,1533,15.8041237113402
"9576",9576,"Trpm6","TRPM6",NA,1533,15.8041237113402
"9979",9979,"St6gal1","ST6GAL1",NA,1533,15.8041237113402
"12482",12482,"Jakmip1","JAKMIP1",NA,1533,15.8041237113402
"1240",1240,"Mlip","MLIP",NA,1532,15.7938144329897
"13452",13452,"Xrcc6","XRCC6",NA,1532,15.7938144329897
"9086",9086,"R3hdm1","R3HDM1",NA,1527,15.7422680412371
"13393",13393,"Mical2","MICAL2",NA,1526,15.7319587628866
"16892",16892,"Gatad2b","GATAD2B",NA,1524,15.7113402061856
"18278",18278,"Txnrd1","TXNRD1",NA,1524,15.7113402061856
"6161",6161,"Lingo1","LINGO1",NA,1523,15.7010309278351
"11588",11588,"Ncor1","NCOR1",NA,1522,15.6907216494845
"767",767,"Ndufb9","NDUFB9",NA,1521,15.680412371134
"10252",10252,"Myo18a","MYO18A",NA,1520,15.6701030927835
"18826",18826,"Chd7","CHD7",NA,1520,15.6701030927835
"18700",18700,"Inip","INIP",NA,1519,15.659793814433
